codigo_iccs,delito_iccs,glosa_iccs,glosa_match,nivel_1,nivel_2,nivel_3,nivel_4,seccion,descripcion,inclusiones,exclusiones,notas
105,Eutanasia,Eutanasia,True,1,105,,,Actos que causan la muerte o que tienen la intencion de causar la muerte,"Muerte de una persona causada por otra persona, con o sin consentimiento de la persona que va a morir, con la intención de provocar la muerte sin dolor, poner fin a un sufrimiento imposible de aliviar, o no hacer el intento de evitar la muerte por causas naturales en casos de enfermedades terminales o coma irreversibles",Eutanasia no voluntaria; eutanasia involuntaria,Facilitar la muerte de una persona que desea morir (0104),
106,Feticidio ilegal,Feticidio ilegal,True,1,106,,,Actos que causan la muerte o que tienen la intencion de causar la muerte,Muerte ilícita de un feto facilitada o causada intencionalmente por una persona,Aborto ilegal; delitos relacionados con el aborto tal como los define la legislación nacional; ocultamiento del parto mediante la eliminación secreta del feto; abortos espontáneos y muertes prenatales intencionales; realización de un aborto ilegal; aborto de un feto en contra de la reglamentación sobre el aborto; aborto forzado,Aborto legal/feticidio legal; aborto realizado por una persona que carezca de conocimientos médicos (02071),"52 Muerte ilícita de un feto, tal como la define la legislación nacional. La muerte de un feto podría estar prohibida o restringida en función de las semanas de gestación y el peso del feto, prohibida en cualquier circunstancia, o prohibida por otros motivos. 53 Practicar un aborto a una mujer sin su consentimiento previo e informado..."
107,Homicidio ilicito relacionado con conflictos armados,Homicidio ilícito relacionado con conflictos armados,True,1,107,,,Actos que causan la muerte o que tienen la intencion de causar la muerte,"El homicidio ilícito en situaciones de conflictos armados que no equivalen a crímenes de guerra. - Crimen de guerra, tal como se define en 1101.",Homicidio a manos de un combatiente que se considera delito en la legislación nacional (y enjuiciado como tal) pero que no equivale a un crimen de guerra,Homicidio cometido durante un conflicto armado considerado homicidio intencional (0101); homicidio relacionado con conflictos armados considerado crimen de guerra (11013),
109,Otros actos que causan la muerte o que tienen la intencion de causar la muerte,Otros actos que causan la muerte o que tienen la intención de causar la muerte,True,1,109,,,Actos que causan la muerte o que tienen la intencion de causar la muerte,Actos que causan la muerte o que tienen la intención de causar la muerte de una persona cometidos por otra persona que no se describen en las categorías 0101 a 0107.,Negativa a ofrecer ayuda que acarrea la muerte,Aplicar todas las exclusiones enumeradas en 0101 a 0107,
201,Agresiones y amenazas,Agresiones y amenazas,True,2,201,,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Uso de la fuerza para causar lesiones o daños o la amenaza de causar lesiones o daños.,Aplicar todas las inclusiones enumeradas en 02011 a 02019,Agresión grave que causa la muerte (0101); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04); amenaza de uso de la fuerza para exigir a una persona un curso de acción determinado (0205),
2011,Agresion,Agresión,True,2,201,2011,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Aplicación intencional o imprudente de fuerza física sobre el cuerpo de una persona. - Actuación temeraria, tal como se define en la nota 54.",Aplicar todas las inclusiones enumeradas en 020111 y 020112,Aplicar todas las exclusiones enumeradas en 0201,"54 La actuación imprudente se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción."
20111,Agresion grave,Agresión grave,True,2,201,2011,20111,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Aplicación intencional o imprudente de fuerza física intensa sobre el cuerpo de una persona que provoca lesiones corporales graves. - Actuación temeraria, tal como se define en la nota 54.","Lesiones corporales graves, heridas; agresión con agravante; lesiones corporales provocadas en circunstancias agravantes, lesiones corporales; ataques con ácido; mutilación genital femenina; envenenamiento; agresión con arma; esterilización forzada; obtención de sangre, órganos o tejidos humanos mediante la violencia",Amenaza de infligir lesiones corporales graves (020121): tortura (11011); aplicar todas las exclusiones enumeradas en 02011,"54 La actuación imprudente se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción. 55 Las lesiones corporales graves incluyen, como mínimo, heridas de bala; heridas de cuchillo o puñal; amputación de miembros; fractura de huesos o pérdida de dientes; lesiones internas; golpes que hagan perder la conciencia; y otras lesiones severas o graves. 56 La fuerza física intensa incluye, como mínimo, el hecho de recibir disparos, puñaladas o cortaduras; ser golpeado con un objeto; recibir un golpe de un objeto lanzado; el envenenamiento y otras formas de aplicación de la fuerza que puedan causar lesiones corporales graves."
20112,Agresion leve,Agresión leve,True,2,201,2011,20112,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Aplicación intencional o imprudente de fuerza física leve sobre el cuerpo de una persona que no provoca heridas ni lesiones corporales leves. - Actuación temeraria, tal como se define en la nota 54.","Lesiones corporales leves; agresión simple; empujones, bofetadas, patadas, golpes; administración de drogas o adición de sustancias prohibidas a alimentos o bebidas",Amenaza de infligir lesiones corporales leves (020122); aplicar todas las exclusiones enumeradas en 02011,"54 La actuación imprudente se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción. 57 Las lesiones corporales leves incluyen, como mínimo, hematomas, cortaduras, arañazos, dientes fracturados o astillados, hinchazón, ojos amoratados y otras lesiones leves. 81 La fuerza física leve incluye, como mínimo, golpes, bofetadas, empujones, zancadillas, derribos y otras formas de aplicación de la fuerza que puedan causar lesiones corporales leves."
2012,Amenaza,Amenaza,True,2,201,2012,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Cualquier tipo de comportamiento amenazador si se cree que la amenaza podría convertirse en realidad.,Aplicar todas las inclusiones enumeradas en 020121 a 020122,"Amenaza de uso de la fuerza para exigir a una persona un curso de acción determinado (0205); amenaza a testigos, magistrados o funcionarios encargados de hacer cumplir la ley (08061); amenaza a votantes para influir en su voto (08071); amenaza de uso de la fuerza con el fin de apropiarse de bienes (0401); todos los actos lesivos de naturaleza sexual (03); captación, transporte, traslado, acogida o recepción de personas mediante amenazas de uso de la fuerza con fines de explotación (0204); aplicar todas las exclusiones enumeradas en 0201","58 El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños."
20121,Amenaza grave,Amenaza grave,True,2,201,2012,20121,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Amenaza con la intención de causar la muerte o daños graves. - Amenaza, tal como se define en 02012.","Amenaza de muerte o de lesiones graves, amenaza de muerte o de lesiones graves a un familiar, amigo u otra persona",Aplicar todas las exclusiones enumeradas en 02012,"58 El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños. 59 Los daños graves incluyen, como mínimo, lesiones corporales graves o fuerza física intensa, como se definen en la nota 13 [Nota del sistema: En el documento original la nota 59 refiere a la nota 13, la cual define lesiones graves]."
20122,Amenaza leve,Amenaza leve,True,2,201,2012,20122,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Amenaza con la intención de causar daños leves. - Amenaza, tal como se define en 02012.","Amenaza de lesiones leves, amenaza de lesiones leves a un familiar o amigo",Aplicar todas las exclusiones enumeradas en 02012,"58 El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños. 60 Los daños leves incluye, como mínimo, lesiones corporales leves o fuerza física leve, como se definen en la nota 58."
2019,Otras agresiones o amenazas,Otras formas de agresiones y amenazas,False,2,201,2019,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Actos que causan o amenazan con causar lesiones o daños no descritos ni clasificados en las categorías 02011 y 02012.,,Aplicar todas las exclusiones enumeradas en 0201,
202,Actos contra la libertad,Actos contra la libertad,True,2,202,,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Impedir o limitar el movimiento o la libertad de una persona.,Aplicar todas las inclusiones enumeradas en 02021 a 02029,Esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03),"61 La libertad se refiere en este caso, como mínimo, a la libertad en la esfera pública, la libertad del cautiverio, la opresión o el gobierno despótico."
2021,Secuestro de menores,Secuestro de menores,True,2,202,2021,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente.",Aplicar todas las inclusiones enumeradas en 020211 a 020219,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); aplicar todas las exclusiones enumeradas en 0202,
20211,Secuestro por progenitores,Secuestro por progenitores,True,2,202,2021,20211,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Secuestro de un menor por un progenitor que no tenga la custodia exclusiva. - Secuestro de menores, tal como se define en 02021.","Secuestro internacional por progenitores, secuestro nacional por progenitores",Aplicar todas las exclusiones enumeradas en 02021,
20212,Secuestro por otro familiar,Secuestro por otro familiar,True,2,202,2021,20212,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Secuestro de un menor por otro familiar que no sea uno de sus progenitores y no tenga la custodia exclusiva. - Secuestro de menores, tal como se define en 02021.",,Aplicar todas las exclusiones enumeradas en 02021,
20213,Secuestro por un tutor legal,Secuestro por un tutor legal,True,2,202,2021,20213,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Secuestro de un menor por un tutor legal que no sea uno de sus progenitores u otro familiar que no tenga la custodia exclusiva. - Secuestro de menores, tal como se define en 02021.",,Aplicar todas las exclusiones enumeradas en 02021,
20219,Otras formas de secuestro de menores,Otras formas de secuestro de menores,True,2,202,2021,20219,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Otras formas de secuestro de menores no descritas ni clasificadas en las categorías 020211 a 020213. - Secuestro de menores, tal como se define en 02021.",,Aplicar todas las exclusiones enumeradas en 02012 [sic],
2022,Privacion de libertad,Privación de libertad,True,2,202,2022,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Detención ilícita de una o varias personas en contra de su voluntad.,Secuestro; retención ilegal; secuestro de vehículos; aplicar todas las inclusiones enumeradas en 020221 a 020229,Secuestro de menores (02021); aplicar todas las exclusiones enumeradas en 0202,
20221,Secuestro,Secuestro,True,2,202,2022,20221,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Sustracción y detención ilícitas de una o varias personas en contra de su voluntad (incluso mediante el uso de la fuerza, amenaza, fraude o persuasión) con la finalidad de exigir por su liberación un provecho ilícito, cualquier otra utilidad de tipo económico u otro beneficio de orden material, u obligar a alguien a que haga o deje de hacer algo.",Secuestro; secuestro exprés,Secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02022,
20222,Retencion ilegal,Retención ilegal,True,2,202,2022,20222,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Detención ilícita de una o varias personas en contra de su voluntad (incluso mediante el uso de la fuerza, amenaza; fraude o persuasión), sin trasladar a la persona a otro lugar.",Toma de rehenes; privación arbitraria de libertad; privación ilícita de libertad; detención ilícita; desaparición forzada,Secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); matrimonio forzado (020292); detención ilegal de una persona con la finalidad de exigir por su liberación un provecho ilícito (020221); aplicar todas las exclusiones enumeradas en 02022,"62 Las desapariciones forzadas se producen cuando ""se arreste, detenga o traslade contra su voluntad a las personas o cuando estas resulten privadas de su libertad de alguna otra forma por agentes gubernamentales..."""
20223,Secuestro de vehiculos,Secuestro de vehículos,True,2,202,2022,20223,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Apoderamiento ilícito de un vehículo con sus ocupantes mediante el uso de la fuerza o la amenaza de uso de la fuerza. - Vehículo, tal como se define en la nota 49.","Secuestro de aeronaves, automóviles, autobuses, embarcaciones u otro vehículo de motor","Secuestro relacionado con datos electrónicos o comunicaciones (0903); actos de violencia, detención, violación o depredación cometidos con un propósito personal por la tripulación o los pasajeros de un buque privado o de una aeronave privada y dirigidos contra un buque o una aeronave en la alta mar o contra personas o bienes a bordo de ellos (11012); hurto de vehículos de motor u otros tipos de hurto (0502); robo (0401); aplicar todas las exclusiones enumeradas en 02022","49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos e incluye automóviles, motocicletas, camiones, autobuses, trenes, embarcaciones, aeronaves, bicicletas, caballos, tractores, etc."
20229,Otras formas de privacion de libertad,Otras formas de privación de libertad,True,2,202,2022,20229,Actos que causan danos o que tienen la intencion de causar danos a las personas,Privación de libertad no descrita ni clasificada en las categorías 020221 a 020223.,,Aplicar todas las exclusiones enumeradas en 02022,
2029,Otros actos contra la libertad,Otros actos contra la libertad,True,2,202,2029,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Actos contra la libertad no descritos ni clasificados en las categorías 02021 y 02022. - Libertad, tal como se define en la nota 61.",Adopción ilegal; matrimonio forzado; aplicar todas las inclusiones enumeradas en 020291 a 02039,Aplicar todas las exclusiones enumeradas en 0202,"61 La libertad se refiere en este caso, como mínimo, a la libertad en la esfera pública, la libertad del cautiverio, la opresión o el gobierno despótico."
20291,Adopcion ilegal,Adopción ilegal,True,2,202,2029,20291,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Adopción ilícita de un menor o preparar, entregar o controlar ilegalmente a un menor con fines de adopción",Adopción fraudulenta; adopción ilegal,Secuestro de menores (02021); trata de personas (0204); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02029,63 Naciones Unidas. Departamento de Asuntos Económicos y Sociales. Child Adoption: Trends and Policies. 2009. 64 Naciones Unidas. División para el Adelanto de la Mujer...
20292,Matrimonio forzado,Matrimonio forzado,True,2,202,2029,20292,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Matrimonio sin consentimiento válido o con consentimiento obtenido mediante intimidación, fuerza, fraude, coacción, amenazas, engaño, uso de drogas o alcohol, abuso de poder o de una situación de vulnerabilidad","Matrimonio forzoso, matrimonio infantil",Secuestro de menores (02021); trata de personas con fines de matrimonio forzado (02044); toma de rehenes (020222); esclavitud y explotación (0203); aplicar todas las exclusiones enumeradas en 02029,
20299,Otros actos contra la libertad,Otros actos contra la libertad,True,2,202,2029,20299,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Actos contra la libertad no descritos ni clasificados en las categorías 020291 y 020292. - Libertad, tal como se define en la nota 61.",,Secuestro de menores (02021); trata de personas (0204); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02029,"61 La libertad se refiere en este caso, como mínimo, a la libertad en la esfera pública, la libertad del cautiverio, la opresión o el gobierno despótico."
203,Esclavitud y explotacion,Esclavitud y explotación,True,2,203,,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Acto de impedir o limitar el movimiento de una persona con fines de explotación para obtener beneficios financieros o de otro tipo que no equivale a trata de personas.,Aplicar todas las inclusiones enumeradas en 02031 a 02039,Trata de personas (0204); explotación sexual (0302); matrimonio forzado (020292); actos que constituyen violaciones del derecho laboral (0808),
2031,Esclavitud,Esclavitud,True,2,203,2031,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Captura, adquisición o cesión ilícita de una persona con la intención de reducirla al estado o condición respecto de la cual se ejercen todos o parte de los poderes atribuidos al derecho de propiedad; todo acto de adquisición de un esclavo con intención de venderlo o de cambiarlo; todo acto de cesión por venta o cambio de un esclavo, adquirido con intención de venderlo o cambiarlo, y todo acto de comercio o de transporte de esclavos.",Esclavitud; servidumbre por deudas; trabajo o servidumbre cautivos; servidumbre involuntaria,Trabajo o servicios ilícitos exigidos a una persona bajo la amenaza de una pena cualquiera y para el cual dicha persona no se ofrece voluntariamente (02032); aplicar todas las exclusiones enumeradas en 0203,
2032,Trabajo forzoso,Trabajo forzoso,True,2,203,2032,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Trabajo o servicio ilícito exigido a una persona bajo la amenaza de una pena cualquiera y para el cual dicha persona no se ofrece voluntariamente.,Aplicar todas las inclusiones enumeradas en 020321 a 020329,Esclavitud (02031); trata de personas con fines de trabajo o servicios forzosos (02042); aplicar todas las exclusiones enumeradas en 0203,
20321,Trabajo forzoso en servicios domesticos,Trabajo forzoso en servicios domésticos,True,2,203,2032,20321,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trabajo forzoso para prestar servicios a hogares particulares de terceros. - Trabajo forzoso, tal como se definen en 02032.",Trabajo doméstico forzoso; explotación en el trabajo doméstico,Aplicar todas las exclusiones enumeradas en 02032,
20322,Trabajo forzoso en servicios industriales,Trabajo forzoso en servicios industriales,True,2,203,2032,20322,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trabajo forzoso para prestar servicios a la industria. - Trabajo forzoso, tal como se define en 02032.","Trabajo forzoso en la agricultura, construcción, manufacturas, entretenimiento, pesca, talleres clandestinos, explotaciones agrícolas",Aplicar todas las exclusiones enumeradas en 02032,"65 Organización Internacional del Trabajo. Convenio sobre el Trabajo Forzoso, 1930..."
20323,Trabajo forzoso para el Estado o las fuerzas armadas,Trabajo forzoso para el Estado o las fuerzas armadas,True,2,203,2032,20323,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trabajo forzoso para prestar servicios al Estado o las fuerzas armadas. - Trabajo forzoso, tal como se define en 02032.",Trabajo ilícito en campamentos de trabajo,Reclutamiento o alistamiento de niños soldados (110135); aplicar todas las exclusiones enumeradas en 02032,
20329,Otras formas de trabajo forzoso,Otras formas de trabajo forzoso,True,2,203,2032,20329,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trabajo forzoso no descrito ni clasificado en las categorías 020321 a 020323. - Trabajo forzoso, tal como se definen en 02032.",Mendicidad forzada,Aplicar todas las exclusiones enumeradas en 02032,
2039,Otros actos de esclavitud y explotacion,Otros actos de esclavitud y explotación,True,2,203,2039,,Actos que causan danos o que tienen la intencion de causar danos a las personas,Esclavitud y explotación no descritas ni clasificadas en las categorías 02031 y 02032.,,Aplicar todas las exclusiones enumeradas en 0203,
204,Trata de personas,Trata de personas,True,2,204,,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"La captación, el transporte, el traslado, la acogida o la recepción de personas, recurriendo a la amenaza o el uso de la fuerza u otras formas de coacción, al rapto, al fraude, al engaño, al abuso de poder o de una situación de vulnerabilidad o a la concesión o recepción de pagos o beneficios para obtener el consentimiento de una persona que tenga autoridad sobre otra, con fines de explotación. Esa explotación incluirá, como mínimo, la explotación de la prostitución ajena u otras formas de explotación sexual, los trabajos o servicios forzosos, la esclavitud o las prácticas análogas a la esclavitud, la servidumbre o la extracción de órganos.","Trata de adultos, trata de niños; aplicar todas las inclusiones enumeradas en 02041 a 02044",Esclavitud (02031); trabajo forzoso (02032); actos que constituyen violaciones del derecho laboral (0808); matrimonio forzado (020292); todos los actos lesivos de naturaleza sexual (03); agresiones y amenazas (0201); actos contra la libertad (0202); actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público (0802); tráfico ilícito de migrantes y otros delitos relacionados con la migración (0805),"66 Naciones Unidas. Protocolo para Prevenir, Reprimir y Sancionar la Trata de Personas, Especialmente Mujeres y Niños..."
2041,Trata de personas con fines de explotacion sexual,Trata de personas con fines de explotación sexual,True,2,204,2041,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trata de personas con fines de explotación sexual. - Trata de personas, tal como se define en 0204. - Explotación sexual, tal como se define en 0302.",Trata de personas con fines de explotación sexual; trata de personas con fines de explotación de la prostitución ajena; trata de personas con fines de explotación sexual comercial,Explotación sexual de adultos que no equivale a trata de personas (03021); aplicar todas las exclusiones enumeradas en 0204,
2042,Trata de personas con fines de trabajo o servicio forzoso,Trata de personas con fines de trabajo o servicios forzosos,False,2,204,2042,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trata de personas con fines de trabajos o servicios forzosos. - Trabajo forzoso, tal como se define en 02032.",Trata de personas con fines de trabajo forzoso; trata de personas con fines de esclavitud o prácticas análogas; trata de personas con fines de servidumbre contractual; trata de personas con fines de trabajo doméstico,Aplicar todas las exclusiones enumeradas en 0204,"67 Los servicios se refieren, como mínimo, al trabajo obtenido de un individuo bajo amenaza y para el cual dicho individuo no se ha ofrecido voluntariamente."
2043,Trata de personas con fines de extraccion de organos,Trata de personas con fines de extracción de órganos,True,2,204,2043,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trata de personas con fines de extracción de órganos. - Trata de personas, tal como se define en 0204.",Trata de personas con fines de extracción de órganos; trata de personas para extracción del hígado,Actos que ponen en peligro la salud (02061); actos contra la salud y la seguridad (0902); aplicar todas las exclusiones enumeradas en 0204,"68 Por órgano se entiende una parte diferenciada y vital del cuerpo humano, formada por diferentes tejidos, que mantiene su estructura, vascularización y capacidad para desarrollar funciones fisiológicas con un nivel de autonomía importante."
2044,Trata de personas con otros fines,Trata de personas con otros fines,True,2,204,2044,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Trata de personas con otros fines de explotación no descrito ni clasificado en las categorías 02041 a 02043. - Trata de personas, tal como se define en 0204.",Trata de personas con fines de matrimonio forzado; trata de personas para que sirvan como jinetes de camellos; trata de personas para que cometan delitos,Aplicar todas las exclusiones enumeradas en 0204,
205,Coaccion,Coacción,True,2,205,,,Actos que causan danos o que tienen la intencion de causar danos a las personas,"Exigir un curso de acción determinado mediante el uso de la fuerza, amenazas, intimidación, amenazas de revelar información comprometedora, o amenazas de difamación. - Difamación, tal como se describe en 0209.",Coacción; extorsión; chantaje; aplicar todas las inclusiones enumeradas en 02051 a 02059,"Adquisición de servicios sexuales bajo coacción y todo acto lesivo de naturaleza sexual (03); apropiarse de bienes mediante el uso de la fuerza, amenazas o amenazas de uso de la fuerza (0401); trata de personas (0204); esclavitud y explotación (0203); agresiones y amenazas (0201); actos dirigidos a provocar miedo o angustia emocional (0207); amenaza a testigos, magistrados o funcionarios encargados de hacer cumplir la ley (08061); amenaza a votantes para influir en su voto (08071); difamación o insulto (0209)",
