ID,data,type
101,6- Por feminicidio se entiende el asesinato de una mujer por motivos de misoginia o de género.,nota
101,7- El infanticidio se refiere al homicidio de un niño menor de un año.,nota
101,"8- El homicidio voluntario es la muerte ilícita causada a una persona con la intención de causarle la muerte en circunstancias de responsabilidad disminuida, como sucede en los casos de provocación.",nota
101,"9- Se refiere a la muerte como resultado del uso de la fuerza por funcionarios encargados de hacer cumplir la ley u otros funcionarios estatales que exceda los límites establecidos por las normas nacionales e internacionales, sobre lo que es estrictamente necesario y pertinente para el desempeño de sus funciones.",nota
101,"10- Se refiere a la muerte como resultado del uso de la fuerza por funcionarios encargados de hacer cumplir la ley u otros funcionarios estatales que exceda los límites establecidos por las normas nacionales e internacionales, sobre lo que es estrictamente necesario y pertinente para el desempeño de sus funciones.",nota
101,11- El homicidio justificable en defensa propia es el homicidio de una persona en defensa propia o de otros cuando las medidas menos extremas son insuficientes para proteger la vida ante la amenaza inminente de muerte o lesiones graves.,nota
101,12- El homicidio no culposo o involuntario es la muerte ilícita causada a una persona cuando existe la intención general de causar daño pero no de provocar la muerte ni lesiones graves.,nota
102,Tentativa de homicidio intencional,titulo
102,Intento de causar la muerte ilícitamente a una persona con la intención de matarla u ocasionarle lesiones graves.,descripcion
102,Tentativa de asesinato; intento de provocar la muerte como resultado de actividades terroristas; tentativa de infanticidio; tentativa de feminicidio.,inclusion
102,Conspiración para conseguir o cometer un feticidio ilegal (0106).,exclusion
103,Homicidio no intencional,titulo
103,Muerte ilícita de una persona causada de manera no intencional por otra persona.,descripcion
103,"Homicidio involuntario, causar la muerte por conducir un vehículo de forma peligrosa; lesiones corporales que causen la muerte cuando no había intención de causar daños graves, homicidio por negligencia grave; homicidio empresarial; homicidio culposo por tránsito vehicular; causar la muerte debido a infracciones de las normas de seguridad del tránsito; causar la muerte por utilizar un vehículo bajo la influencia de drogas o alcohol; negligencia profesional que cause la muerte.",inclusion
103,Agresión grave que causa la muerte (0101); homicidio voluntario (0101),exclusion
1031,Homicidio no culposo,titulo
1031,Agresión mortal ilícita contra una persona cuando existe la intención general de causar daño pero no de provocar la muerte ni lesiones graves.,descripcion
1031,Homicidio involuntario; lesiones corporales que causen la muerte cuando no había intención de causar daños graves.,inclusion
1031,Agresión grave que causa la muerte (0101); homicidio voluntario (0101).,exclusion
1032,Homicidio culposo,titulo
1032,Muerte no intencional como resultado de un acto negligente o involuntario que no esté dirigido intencionalmente a la víctima*13.,descripcion
1032,Homicidio por negligencia grave; homicidio empresarial; homicidio culposo por tránsito vehicular; homicidio involuntario; lesiones corporales que causen la muerte cuando no había intención de causar daños graves; negligencia profesional que cause la muerte.,inclusion
1032, Agresión grave que causa la muerte (0101); homicidio voluntario (0101); actos negligentes que no llegan a causar la muerte (0206),exclusion
1032,"13- La negligencia se refiere al hecho de no ejercer el cuidado que tendría hacia el prójimo una persona razonable o prudente en determinadas circunstancias, o proceder de una manera en que una persona razonable no procedería.",nota
10321,Homicidio por tránsito vehicular,titulo
10321,"Muerte no intencional como resultado de un comportamiento negligente, temerario o descuidado durante la utilización de un vehículo que no esté dirigido intencionalmente a la víctima*14. Negligencia: ""La negligencia se refiere al hecho de no ejercer el cuidado que tendría hacia el prójimo una persona razonable o prudente en determinadas circunstancias, o proceder de una manera en que una persona razonable no procedería"". ",descripcion
10321, Causar la muerte por conducir de forma peligrosa; causar la muerte debido a infracciones de las normas de seguridad del tránsito; causar la muerte por utilizar un vehículo bajo la influencia de drogas o alcohol; homicidio culposo por tránsito vehicular.,inclusion
10321,Agresión grave que causa la muerte (0101); homicidio voluntario (0101); actos negligentes que no llegan a causar la muerte (0206); negligencia relacionada con el tráfico que no llega a causar a la muerte (02063); conducción de un vehículo bajo los efectos de sustancias psicoactivas que no llega a causar a la muerte (02072).,exclusion
10321,"14- Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos e incluye automóviles, motocicletas, camiones, autobuses, trenes, embarcaciones, aeronaves, bicicletas, caballos, tractores, etc.",nota
10322,Homicidio no ocasionado por tránsito vehicular,titulo
10322,"Muerte no intencional como resultado de un acto negligente o involuntario que no esté dirigido intencionalmente a la víctima.Negligencia: ""La negligencia se refiere al hecho de no ejercer el cuidado que tendría hacia el prójimo una persona razonable o prudente en determinadas circunstancias, o proceder de una manera en que una persona razonable no procedería"". ",descripcion
10322,Homicidio por negligencia grave; negligencia profesional que cause la muerte.,inclusion
10322,Agresión grave que causa la muerte (0101); homicidio voluntario (0101); actos negligentes que no llegan a causar la muerte (0206).,exclusion
104,Suicidio asistido o incitación al suicidio,titulo
104,Actos ilícitos para facilitar o instigar intencionalmente el suicidio de una persona.,descripcion
104,Suicidio asistido por médicos que no equivale a eutanasia; suicidio asistido;  incitación al suicidio mediante persuasión u otros medios.,inclusion
104,-,exclusion
1041,Suicidio asistido,titulo
1041,"Muerte intencional de una persona que desea morir, autoinfligida y facilitada por otra persona que la ayuda a morir o le proporciona los conocimientos o los medios necesarios*15.",descripcion
1041,Suicidio asistido por médicos que no equivale a eutanasia; suicidio asistido.,inclusion
1041,Muerte de una persona causada por otra persona con la intención de provocar la muerte sin dolor o poner fin a un sufrimiento imposible de aliviar (0105); omisión del deber de socorro que acarree la muerte (0109).,exclusion
1041,15- Organización Mundial de la Salud. Centro de Desarrollo Sanitario de la OMS. Glossary of Terms for Community Health Care and Services for Older Persons. 2004. En Internet: http://www.who.int/kobe_centre/ageing/ahp_vol5_glossary.pdf,nota
1049,Otros actos de suicidio asistido o incitación al suicidio,titulo
1049,"Actos conducentes al suicidio de otra persona que no se describen como ""Muerte intencional de una persona que desea morir, autoinfligida y facilitada por otra persona que la ayuda a morir o le proporciona los conocimientos o los medios necesarios*15""",descripcion
1049,Incitación al suicidio mediante persuasión u otros medios.,inclusion
1049,-,exclusion
1049,15- Organización Mundial de la Salud. Centro de Desarrollo Sanitario de la OMS. Glossary of Terms for Community Health Care and Services for Older Persons. 2004. En Internet: http://www.who.int/kobe_centre/ageing/ahp_vol5_glossary.pdf,nota
105,Eutanasia,titulo
105,"Muerte de una persona causada por otra persona, con o sin consentimiento de la persona que va a morir, con la intención de provocar la muerte sin dolor, poner fin a un sufrimiento imposible de aliviar, o no hacer el intento de evitar la muerte por causas naturales en casos de enfermedades terminales o coma irreversible*16",descripcion
105,Eutanasia no voluntaria; eutanasia involuntaria.,inclusion
105,Facilitar la muerte de una persona que desea morir (0104).,exclusion
105,16- Organización Mundial de la Salud. Centro de Desarrollo Sanitario de la OMS. Glossary of Terms for Community Health Care and Services for Older Persons. 2004. En Internet: http://www.who.int/kobe_centre/ageing/ahp_vol5_glossary.pdf,nota
106,Feticidio ilegal,titulo
106,Muerte ilícita de un feto facilitada o causada intencionalmente por una persona*17.,descripcion
106,Aborto ilegal; delitos relacionados con el aborto tal como los define la legislación nacional; ocultamiento del parto mediante la eliminación secreta del feto; abortos espontáneos y muertes prenatales intencionales; realización de un aborto ilegal; aborto de un feto en contra de la reglamentación sobre el aborto; aborto forzado*18,inclusion
106, Aborto legal/feticidio legal; aborto realizado por una persona que carezca de conocimientos médicos (02071),exclusion
106,"17- Muerte ilícita de un feto, tal como la define la legislación nacional. La muerte de un feto podría estar prohibida o restringida en función de las semanas de gestación y el peso del feto, prohibida en cualquier circunstancia, o prohibida por otros motivos.",nota
106,"18- Practicar un aborto a una mujer sin su consentimiento previo e informado; el hecho de practicar una intervención quirúrgica que tenga por objeto o por resultado poner fin a la capacidad de una mujer de reproducirse de modo natural, sin su consentimiento previo e informado o sin su entendimiento del procedimiento (Consejo de Europa. Convenio del Consejo de Europa sobre Prevención y Lucha contra la Violencia contra la Mujer y la Violencia Doméstica (Convenio de Estambul), art. 39, 2011.)",nota
107,Homicidio ilícito relacionado con conflictos armados,titulo
107,"El homicidio ilícito en situaciones de conflictos armados que no equivalen a crímenes de guerra. Crimen de guerra: ""Actos que constituyan violaciones graves de las leyes y los usos aplicables en los conflictos armados según lo expresado en el Estatuto de la Corte Penal Internacional (Estatuto de Roma) y en los Convenios de Ginebra (1949).""",descripcion
107,Homicidio a manos de un combatiente que se considera delito en la legislación nacional (y enjuiciado como tal) pero que no equivale a un crimen de guerra.,inclusion
107,Homicidio cometido durante un conflicto armado considerado homicidio intencional (0101); homicidio relacionado con conflictos armados considerado crimen de guerra (11013).,exclusion
109,Otros actos que causan la muerte o que tienen la intención de causar la muerte,titulo
109,"Actos que causan la muerte o que tienen la intención de causar la muerte de una persona cometidos por otra persona que no se describen en las categorías  de homicidio intencional (""muerte ilícita causada a una persona con la intención de causarle la muerte o lesiones graves""), tentativa de homicidio intencional (""intento de causar la muerte ilícitamente a una persona con la intención de matarla u ocasionarle lesiones graves""), homicidio no intencional (""muerte ilícita de una persona causada de manera no intencional por otra persona""), suicidio asistido o incitación al suicidio(""actos ilícitos para facilitar o instigar intencionalmente el suicidio de una persona""), eutanasia (""muerte de una persona causada por otra persona, con o sin consentimiento de la persona que va a morir, con la intención de provocar la muerte sin dolor, poner fin a un sufrimiento imposible de aliviar, o no hacer el intento de evitar la muerte por causas naturales en casos de enfermedades terminales o coma irreversible*16""), feticidio ilegal (""muerte ilícita de un feto facilitada o causada intencionalmente por una persona*17""), homicidio ilícito relacionado con conflictos armados (""El homicidio ilícito en situaciones de conflictos armados que no equivalen a crímenes de guerra. Crimen de guerra: ""Actos que constituyan violaciones graves de las leyes y los usos aplicables en los conflictos armados según lo expresado en el Estatuto de la Corte Penal Internacional (Estatuto de Roma) y en los Convenios de Ginebra (1949)"").",descripcion
109,Negativa a ofrecer ayuda que acarrea la muerte.,inclusion
109,Muerte por intervención legal*10; homicidio justificable en defensa propia*11;  homicidio cometido durante un conflicto armado considerado homicidio intencional (0101); tentativa de homicidio intencional (0102);  el homicidio sin el elemento de la intención es homicidio no intencional (0103); homicidio no culposo o involuntario*12 (01031); suicidio asistido o incitación al suicidio (0104); facilitar la muerte de una persona que desea morir (0104); feticidio ilegal (0106); eutanasia (0105); conspiración para conseguir o cometer un feticidio ilegal (0106); agresión grave que causa la muerte (0101); homicidio voluntario (0101);  aborto legal/feticidio legal; aborto realizado por una persona que carezca de conocimientos médicos (02071); homicidio relacionado con conflictos armados considerado crimen de guerra (11013).,exclusion
109,16- Organización Mundial de la Salud. Centro de Desarrollo Sanitario de la OMS. Glossary of Terms for Community Health Care and Services for Older Persons. 2004. En Internet: http://www.who.int/kobe_centre/ageing/ahp_vol5_glossary.pdf,nota
109,"17- Muerte ilícita de un feto, tal como la define la legislación nacional. La muerte de un feto podría estar prohibida o restringida en función de las semanas de gestación y el peso del feto, prohibida en cualquier circunstancia, o prohibida por otros motivos.",nota
109,"10- Se refiere a la muerte como resultado del uso de la fuerza por funcionarios encargados de hacer cumplir la ley u otros funcionarios estatales que exceda los límites establecidos por las normas nacionales e internacionales, sobre lo que es estrictamente necesario y pertinente para el desempeño de sus funciones.",nota
109,11- El homicidio justificable en defensa propia es el homicidio de una persona en defensa propia o de otros cuando las medidas menos extremas son insuficientes para proteger la vida ante la amenaza inminente de muerte o lesiones graves.,nota
109,12-El homicidio no culposo o involuntario es la muerte ilícita causada a una persona cuando existe la intención general de causar daño pero no de provocar la muerte ni lesiones graves.,nota
2,Actos que causan daños o tienen la intención de causar daños a las personas,titulo
201,Agresiones y amenazas,titulo
201,Uso de la fuerza para causar lesiones o daños o la amenaza de causar lesiones o daños.,descripcion
201,"Lesiones corporales graves; heridas; agresión con agravante; lesiones corporales provocadas en circunstancias agravantes; lesiones corporales; ataques con ácido; mutilación genital femenina; envenenamiento; agresión con arma; esterilización forzada *21 ; obtención de sangre, órganos o tejidos humanos mediante la violencia; lesiones corporales leves; agresión simple; empujones, bofetadas, patadas, golpes; administración de drogas o adición de sustancias prohibidas a alimentos o bebidas; amenaza de muerte o de lesiones graves, amenaza de muerte o de lesiones graves a un familiar, amigo u otra persona; amenaza de lesiones leves, amenaza de lesiones leves a un familiar o amigo. ",inclusion
201,Agresión grave que causa la muerte (0101); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04); amenaza del uso de la fuerza para exigir a una persona un curso de acción determinado (0205).,exclusion
201,"21- El hecho de practicar una intervención quirúrgica que tenga por objeto o por resultado poner fin a la capacidad de una mujer de reproducirse de modo natural sin su consentimiento previo e informado o sin su entendimiento del procedimiento. (Consejo de Europa. Convenio del Consejo de Europa sobre Prevención y Lucha contra la Violencia contra la Mujer y la Violencia Doméstica (Convenio de Estambul), art. 39, 2011.)",nota
2011,Agresión,titulo
2011,Aplicación intencional o imprudente de fuerza física sobre el cuerpo de una persona*19. ,descripcion
2011,"Lesiones corporales graves; heridas; agresión con agravante; lesiones corporales provocadas en circunstancias agravantes; lesiones corporales; ataques con ácido; mutilación genital femenina; envenenamiento; agresión con arma; esterilización forzada *21 ; obtención de sangre, órganos o tejidos humanos mediante la violencia; lesiones corporales leves; agresión simple; empujones, bofetadas, patadas, golpes; administración de drogas o adición de sustancias prohibidas a alimentos o bebidas.",inclusion
2011,Agresión grave que causa la muerte (0101); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04); amenaza del uso de la fuerza para exigir a una persona un curso de acción determinado (0205).,exclusion
2011,"19- La actuación imprudente o temeraria se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción.",nota
2011,"21- El hecho de practicar una intervención quirúrgica que tenga por objeto o por resultado poner fin a la capacidad de una mujer de reproducirse de modo natural sin su consentimiento previo e informado o sin su entendimiento del procedimiento (Consejo de Europa. Convenio del Consejo de Europa sobre Prevención y Lucha contra la Violencia contra la Mujer y la Violencia Doméstica (Convenio de Estambul), art. 39, 2011.)",nota
20111,Agresión grave,titulo
20111,"Aplicación intencional o imprudente de fuerza física intensa sobre el cuerpo de una persona que provoca lesiones corporales graves*20. Actuación temeraria: ""19-La actuación imprudente o temeraria se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción."" ",descripcion
20111,"Lesiones corporales graves; heridas; agresión con agravante; lesiones corporales provocadas en circunstancias agravantes; lesiones corporales; ataques con ácido; mutilación genital femenina; envenenamiento; agresión con arma; esterilización forzada *21 ; obtención de sangre, órganos o tejidos humanos mediante la violencia. ",inclusion
20111,Amenaza de infligir lesiones corporales graves (020121); tortura (11011); agresión grave que causa la muerte (0101); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04); amenaza del uso de la fuerza para exigir a una persona un curso de acción determinado (0205).,exclusion
20111,"20- Las lesiones corporales graves incluyen, como mínimo, heridas de bala; heridas de cuchillo o puñal; amputación de miembros; fractura de huesos o pérdida de dientes; lesiones internas; golpes que hagan perder la conciencia; y otras lesiones severas o graves. La fuerza física intensa incluye, como mínimo, el hecho de recibir disparos, puñaladas o cortaduras; ser golpeado con un objeto; recibir un golpe de un objeto lanzado; el envenenamiento y otras formas de aplicación de la fuerza que puedan causar lesiones corporales graves.",nota
20111,"21- El hecho de practicar una intervención quirúrgica que tenga por objeto o por resultado poner fin a la capacidad de una mujer de reproducirse de modo natural sin su consentimiento previo e informado o sin su entendimiento del procedimiento. (Consejo de Europa. Convenio del Consejo de Europa sobre Prevención y Lucha contra la Violencia contra la Mujer y la Violencia Doméstica (Convenio de Estambul), art. 39, 2011.)",nota
20112,Agresión leve,titulo
20112,"Aplicación intencional o imprudente de fuerza física leve sobre el cuerpo de una persona que no provoca heridas ni lesiones corporales leves*22. Actuación temeraria: ""La actuación imprudente o temeraria se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción"".",descripcion
20112,"Lesiones corporales leves; agresión simple; empujones, bofetadas, patadas, golpes; administración de drogas o adición de sustancias prohibidas a alimentos o bebidas.",inclusion
20112,Agresión grave que causa la muerte (0101); amenaza de infligir lesiones corporales leves (020122); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04);  amenaza del uso de la fuerza para exigir a una persona un curso de acción determinado (0205).,exclusion
20112,"22- Las lesiones corporales leves incluyen, como mínimo, hematomas, cortaduras, arañazos, dientes fracturados o astillados, hinchazón, ojos amoratados y otras lesiones leves. La fuerza física leve incluye, como mínimo, golpes, bofetadas, empujones, zancadillas, derribos y otras formas de aplicación de la fuerza que puedan causar lesiones corporales leves.",nota
2012,Amenaza,titulo
2012,Cualquier tipo de comportamiento amenazador si se cree que la amenaza podría convertirse en realidad *23.,descripcion
2012,"Amenaza de muerte o de lesiones graves, amenaza de muerte o de lesiones graves a un familiar, amigo u otra persona, amenaza de lesiones leves, amenaza de lesiones leves a un familiar o amigo. ",inclusion
2012,"Amenaza de uso de la fuerza para exigir a una persona un curso de acción determinado (0205); amenaza a testigos, magistrados o funcionarios encargados de hacer cumplir la ley (08061); amenaza a votantes para influir en su voto (08071); amenaza de uso de la fuerza con el fin de apropiarse de bienes (0401); todos los actos lesivos de naturaleza sexual (03); captación, transporte, traslado, acogida o recepción de personas mediante amenazas de uso de la fuerza con fines de explotación (0204); agresión grave que causa la muerte (0101); uso de la fuerza con el fin de apropiarse de bienes (04)",exclusion
2012,"23- El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños.",nota
20121,Amenaza grave,titulo
20121,"Amenaza con la intención de causar la muerte o daños graves*24.  Amenaza: ""Cualquier tipo de comportamiento amenazador si se cree que la amenaza podría convertirse en realidad (02012)*23.""",descripcion
20121,"Amenaza de muerte o de lesiones graves, amenaza de muerte o de lesiones graves a un familiar, amigo u otra persona.",inclusion
20121,"Amenaza de uso de la fuerza para exigir a una persona un curso de acción determinado (0205); amenaza a testigos, magistrados o funcionarios encargados de hacer cumplir la ley (08061); amenaza a votantes para influir en su voto (08071); amenaza de uso de la fuerza con el fin de apropiarse de bienes (0401); todos los actos lesivos de naturaleza sexual (03); captación, transporte, traslado, acogida o recepción de personas mediante amenazas de uso de la fuerza con fines de explotación (0204); agresión grave que causa la muerte (0101).",exclusion
20121,"23- El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños.",nota
20121,"24- Los daños graves incluyen, como mínimo, lesiones corporales graves o fuerza física intensa. La fuerza física intensa incluye, como mínimo, el hecho de recibir disparos, puñaladas o cortaduras; ser golpeado con un objeto; recibir un golpe de un objeto lanzado; el envenenamiento y otras formas de aplicación de la fuerza que puedan causar lesiones corporales graves.",nota
20122,Amenaza leve,titulo
20122,Amenaza con la intención de causar daños leves*25,descripcion
20122,"Amenaza de lesiones leves, amenaza de lesiones leves a un familiar o amigo.",inclusion
20122,"Amenaza de uso de la fuerza para exigir a una persona un curso de acción determinado (0205); amenaza a testigos, magistrados o funcionarios encargados de hacer cumplir la ley (08061); amenaza a votantes para influir en su voto (08071); amenaza de uso de la fuerza con el fin de apropiarse de bienes (0401); todos los actos lesivos de naturaleza sexual (03); captación, transporte, traslado, acogida o recepción de personas mediante amenazas de uso de la fuerza con fines de explotación (0204); Agresión grave que causa la muerte (0101); uso de la fuerza con el fin de apropiarse de bienes (04).",exclusion
20122,"25- Los daños leves incluye, como mínimo, lesiones corporales leves o fuerza física leve. Las lesiones corporales leves incluyen, como mínimo, hematomas, cortaduras, arañazos, dientes fracturados o astillados, hinchazón, ojos amoratados y otras lesiones leves. La fuerza física leve incluye, como mínimo, golpes, bofetadas, empujones, zancadillas, derribos y otras formas de aplicación de la fuerza que puedan causar lesiones corporales leves.",nota
2019,Otras formas de agresiones y amenazas,titulo
2019,"Actos que causan o amenazan con causar lesiones o daños no descritos ni clasificados como agresión (""aplicación intencional o imprudente de fuerza física sobre el cuerpo de una persona*19"") ni amenaza (""Cualquier tipo de comportamiento amenazador si se cree que la amenaza podría convertirse en realidad*23)."" ",descripcion
2019,-,inclusion
2019,Agresión grave que causa la muerte (0101); todos los actos lesivos de naturaleza sexual (03); uso de la fuerza con el fin de apropiarse de bienes (04); amenaza del uso de la fuerza para exigir a una persona un curso de acción determinado (0205),exclusion
2019,"19- La actuación imprudente o temeraria se refiere, como mínimo, a la actuación sin pensar ni tener en cuenta las consecuencias de una acción.",nota
2019,"23- El comportamiento amenazador es, como mínimo, un comportamiento intencional que causa temor de sufrir lesiones o daños.",nota
202,Actos contra la libertad,titulo
202,Impedir o limitar el movimiento o la libertad de una persona*26.,descripcion
202,"Secuestro internacional por progenitores, secuestro nacional por progenitores, secuestro, retención ilegal, secuestro de vehículos, secuestro exprés, toma de rehenes; privación arbitraria de libertad; privación ilícita de libertad; detención ilícita; desaparición forzada*27; secuestro de aeronaves, automóviles, autobuses, embarcaciones u otro vehículo de motor, adopción ilegal; matrimonio forzado; adopción fraudulenta; matrimonio infantil; esclavitud; servidumbre por deudas; trabajo o servidumbre cautivos; servidumbre involuntaria; trabajo doméstico forzoso; explotación en el trabajo doméstico; trabajo forzoso en la agricultura, construcción, manufacturas, entretenimiento, pesca, talleres clandestinos, explotaciones agrícolas; trabajo ilícito en campamentos de trabajo; mendicidad forzada.",inclusion
202,Esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
202,"26- La libertad se refiere en este caso, como mínimo, a la libertad en la esfera pública, la libertad del cautiverio, la opresión o el gobierno despótico. (Naciones Unidas. Declaración Universal de Derechos Humanos. En Internet: http://www.un.org/es/universaldeclarationhumanrights).",nota
202,"27- Las desapariciones forzadas se producen cuando “se arreste, detenga o traslade contra su voluntad a las personas o cuando estas resulten privadas de su libertad de alguna otra forma por agentes gubernamentales de cualquier sector o nivel, por grupos organizados o por particulares que actúan en nombre del gobierno o con su apoyo directo o indirecto, su autorización o su asentimiento, y que luego se niegan a revelar la suerte o el paradero de esas personas o a reconocer que están privadas de la libertad, sustrayéndolas así a la protección de la ley”. Naciones Unidas. Declaración sobre la Protección de Todas las Personas contra las Desapariciones Forzadas. Resolución 47/133 de la Asamblea General, de 18 de diciembre de 1992. En Internet: http://www.un.org/es/events/disappearancesday/background.shtml.",nota
2021,Secuestro de menores,titulo
2021,"Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente.",descripcion
2021,"Secuestro internacional por progenitores, secuestro nacional por progenitores.",inclusion
2021,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
20211,Secuestro por progenitores,titulo
20211,"Secuestro de un menor por un progenitor que no tenga la custodia exclusiva. Secuestro de menores: ""Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente"".",descripcion
20211,"Secuestro internacional por progenitores, secuestro nacional por progenitores.",inclusion
20211,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
20212,Secuestro por otro familiar,titulo
20212,"Secuestro de un menor por otro familiar que no sea uno de sus progenitores y no tenga la custodia exclusiva.  Secuestro de menores: ""Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente"".",descripcion
20212,-,inclusion
20212,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
20213,Secuestro por un tutor legal,titulo
20213,"Secuestro de un menor por un tutor legal que no sea uno de sus progenitores u otro familiar que no tenga la custodia exclusiva. Secuestro de menores: ""Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente.""",descripcion
20213,-,inclusion
20213,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
20219,Otras formas de secuestro de menores,titulo
20219,"Otras formas de secuestro de menores no descritas en secuestro por progenitores (""Secuestro de un menor por un progenitor que no tenga la custodia exclusiva""), ni secuestro por otro familiar (""secuestro de un menor por otro familiar que no sea uno de sus progenitores y no tenga la custodia exclusiva""), ni secuestro por un tutor legal (""Secuestro de un menor por un tutor legal que no sea uno de sus progenitores u otro familiar que no tenga la custodia exclusiva""). Secuestro de menores: ""Sustraer a un menor de su tutor legal o progenitor que tenga la custodia, ocultarlo o retenerlo ilegalmente"".",descripcion
20219,-,inclusion
20219,Detención ilegal de una persona con la finalidad de exigir por su liberación un beneficio ilícito (020221); adopción ilegal (020291); esclavitud y explotación (0203); trata de personas (0204); actos contra la libertad o tendientes al control de la expresión (0803); todos los actos de naturaleza sexual (03).,exclusion
2022,Privación de libertad,titulo
2022,Detención ilícita de una o varias personas en contra de su voluntad.,descripcion
2022,"Secuestro; retención ilegal; secuestro de vehículos; secuestro exprés; toma de rehenes; privación arbitraria de libertad; privación ilícita de libertad; detención ilícita; desaparición forzada*27; Secuestro de aeronaves, automóviles, autobuses, embarcaciones u otro vehículo de motor.",inclusion
