cnp_codigo,cnp_glosa,cnp_descripcion,cnp_familia,iccs_elegido,iccs_glosa_elegida,confianza,justificacion,exclusiones_aplicadas
220,Tormentos a detenidos,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20222,Retención ilegal,alta,"El delito CNP (Tormentos a detenidos) implica la detención ilegal de una persona en contra de su voluntad, lo cual se alinea con la definición de 'Retención ilegal' en el ICCS 20222. Además, las exclusiones del ICCS 20222 descartan casos como el secuestro de menores o la trata de personas, lo cual no aplica al delito CNP. La sección del ICCS también corresponde al marco de actos que causan daños a las personas, lo que refuerza la precisión de la clasificación.",detención ilegal de una persona con la finalidad de exigir por su liberación un provecho ilícito (020221); secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); toma de rehenes (020222)
221,Delitos contra vida y la privacidad de las conversaciones,"Castiga a quien, sin autorización del afectado y por cualquier medio, capte, intercepte, grabe o reproduzca conversaciones o comunicaciones privadas; sustraiga, fotografíe, fotocopie o reproduzca documentación privada; o capte, grabe, firme o fotografíe imágenes o hechos privados que tienen lugar en recintos privados o lugares que no sean de libre acceso público. También castiga a quien difunde tales conversaciones, comunicaciones, documentación, imágenes y hechos. Además, castiga a quien pretende obtener dinero, especies o la realización de determinada conducta, mediante los actos antes indicados.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2111,Invasión de la intimidad,alta,"El delito CNP se enfoca en la interceptación y reproducción de conversaciones privadas, lo que se alinea con la invasión de la intimidad descrita en el ICCS 2111. La sección ICCS correspondiente (Actos que causan danos o que tienen la intencion de causar danos a las personas) es compatible con el marco del delito. Además, las notas del ICCS 2111 definen la intimidad como la autonomía individual y la condición de ser libre de ser observado o molestado, lo cual se ajusta al delito CNP.",
222,"Secuestro con homicidio, violación o lesiones",,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP se describe como secuestro con homicidio, violación o lesiones, lo cual se alinea con la definición de secuestro en el ICCS 20221, que incluye la detención ilícita de personas con la finalidad de exigir un provecho ilícito. Aunque el delito incluye homicidio, el móvil principal es el secuestro, lo que lo clasifica como secuestro, no como homicidio. El ICCS 20221 es el más preciso al abordar el móvil del delito.",
223,Exacciones ilegales cometidas por particulares,"Imponer a otros contribuciones o servicios personales, sin facultades para ello.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta,"El delito CNP 223 se relaciona con la imposición de contribuciones o servicios personales sin facultades, lo que se alinea con el ICCS 804, que abarca actos contrarios a disposiciones relativas a los ingresos públicos. No se aplican exclusiones que descarten este código, ya que el delito no implica fraude, corrupción, lesiones o actos contra el orden público en el sentido de amenazas o violencia.",
224,Torturas por particulares agentes del Estado,"Sanciona al particular que, en el ejercicio de funciones públicas, o a instigación de un empleado público, o con el consentimiento o aquiescencia de éste, aplicare, ordenare o consintiere en que se aplique intencionalmente: dolores o sufrimientos graves, ya sean físicos, sexuales o psíquicos, métodos tendientes a anular la personalidad de la víctima, o a disminuir su voluntad o su capacidad de discernimiento o decisión, con el fin de obtener de ella o de un tercero información, declaración o una confesión, de castigarla por un acto que haya cometido, o se le impute haber cometido, o de intimidar o coaccionar a esa persona, o en razón de una discriminación fundada en motivos tales como la ideología, la opinión política, la religión o creencias de la víctima; la nación, la raza, la etnia o el grupo social al que pertenezca; el sexo, la orientación sexual, la identidad de género, la edad, la filiación, la apariencia personal, el estado de salud o la situación de discapacidad. Todo aquel que no sea empleado público y participe en la comisión de los delitos sancionados en los artículos 150 y 150 a.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP se describe como tortura con fines de obtener información, castigar o intimidar, lo que coincide directamente con la definición de tortura en el ICCS 11011. La nota 141 del ICCS 11011 confirma que la tortura es todo acto intencional que cause dolores o sufrimientos graves con fines específicos, lo cual se alinea exactamente con la glosa del CNP. No hay exclusiones que descarten este código.",
225,Torturas cometidas por funcionarios públicos,"Sanciona al empleado público que, abusando de su cargo o sus funciones, aplicare, ordenare o consintiere en que se aplique tortura, así como al empleado público que, conociendo de la ocurrencia de estas conductas, no impidiere o no hiciere cesar la aplicación de tortura, teniendo la facultad o autoridad necesaria para ello o estando en posición para hacerlo. Por tortura se entiende por tal la aplicación intencional de dolores o sufrimientos graves, ya sean físicos, sexuales o psíquicos, métodos tendientes a anular la personalidad de la víctima, o a disminuir su voluntad o su capacidad de discernimiento o decisión, con el fin de obtener de ella o de un tercero información, declaración o una confesión, de castigarla por un acto que haya cometido, o se le impute haber cometido, o de intimidar o coaccionar a esa persona, o en razón de una discriminación fundada en motivos tales como la ideología, la opinión política, la religión o creencias de la víctima; la nación, la raza, la etnia o el grupo social al que pertenezca; el sexo, la orientación sexual, la identidad de género, la edad, la filiación, la apariencia personal, el estado de salud o la situación de discapacidad.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP se define como tortura cometida por funcionarios públicos, lo que coincide directamente con la definición de tortura en el ICCS 11011. La descripción del ICCS 11011 incluye la intención de obtener información o confesión mediante dolores o sufrimientos graves, lo cual se alinea con el móvil del delito CNP. No hay exclusiones que descarten este delito.",
226,Promoción odio o violencia con grupos por motivos discriminatorios,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,80322,Violaciones de las normas sobre intolerancia e incitación al odio,alta,"El delito CNP se centra en la promoción del odio o violencia con grupos por motivos discriminatorios, lo cual se alinea con la glosa de 80322: 'Violaciones de las normas sobre intolerancia e incitación al odio'. La sección ICCS correspondiente (Actos contra el orden público, la autoridad y las disposiciones del Estado) también es compatible con el marco del delito. Además, las inclusiones de 80322 mencionan 'promoción del odio étnico, racial o religioso' y 'incitación al odio', lo que refuerza la coincidencia con el delito CNP.",
227,Tortura para anular voluntad,"Sanciona al que aplique intencionalmente métodos tendientes a anular la personalidad de la víctima, o a disminuir su voluntad o su capacidad de discernimiento o decisión, con el fin de obtener de ella o de un tercero información, declaración o una confesión, de castigarla por un acto que haya cometido, o se le impute haber cometido, o de intimidar o coaccionar a esa persona, o en razón de una discriminación fundada en motivos tales como la ideología, la opinión política, la religión o creencias de la víctima; la nación, la raza, la etnia o el grupo social al que pertenezca; el sexo, la orientación sexual, la identidad de género, la edad, la filiación, la apariencia personal, el estado de salud o la situación de discapacidad.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP se describe como tortura con el fin de obtener información, castigar o intimidar, lo que coincide directamente con la definición de tortura en el ICCS 11011. La nota del ICCS 11011 menciona claramente que la tortura es todo acto que inflija dolores o sufrimientos graves con el fin de obtener información o una confesión, lo que se alinea exactamente con el móvil del delito CNP.",
228,Tortura con homicidio,"Si con ocasión de la tortura se cometiere, además, homicidio.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP (Tortura con homicidio) tiene como móvil la tortura, que se define en el ICCS 11011 como acto intencional de causar dolores o sufrimientos graves. Aunque el homicidio es consecuencia, el móvil principal es la tortura. El ICCS 11011 es compatible con la definición del CNP y no se descarta por exclusiones. El ICCS 101 (homicidio intencional) no abarca la tortura como móvil principal.",
229,"Tortura con violación, abuso sexual agravado u otros","Si con ocasión de la tortura se cometiere, además, alguno de los delitos previstos en los artículos 361, 362, 365 bis, 395, 396 o 397, número 1°.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP describe tortura con violación, abuso sexual agravado u otros, lo que se alinea con la definición de tortura en el ICCS 11011. La sección del ICCS 11011 corresponde a 'Otros actos delictivos no clasificados en otra parte', lo cual es compatible con el marco del delito CNP. Además, la nota del ICCS 11011 define la tortura como acto intencional que causa dolores o sufrimientos graves, lo que coincide con la intención del delito CNP.",
230,Tortura con cuasidelito,"Si con ocasión de la tortura se cometiere, además, alguno de los cuasidelitos a que se refiere el artículo 490, número 1°.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,11011,Tortura,alta,"El delito CNP 230 se refiere a la tortura con cuasidelito, lo cual se alinea directamente con la definición de tortura en el ICCS 11011. La nota del ICCS 11011 describe la tortura como acto intencional que causa sufrimientos graves, lo cual coincide con el móvil del delito CNP. No hay exclusiones que descarten este código en relación con el delito descrito.",
231,Apremios ilegítimos cometidos por empleados públicos,"Sanciona al empleado público que, en incumplimiento de los reglamentos respectivos actúe abusando de su cargo o que en el ejercicio de sus funciones, aplique, ordene o consienta en que se apliquen apremios ilegítimos u otros tratos crueles, inhumanos o degradantes, que no alcancen por su gravedad a constituir tortura. Asimismo, se sanciona al empleado público que, conociendo de la ocurrencia de estas conductas, no impida o no haga cesar la aplicación de los apremios o de los otros tratos, teniendo la facultad o autoridad necesaria para ello y estando en posición para hacerlo.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,808,Actos contrarios al derecho laboral,alta,"El delito CNP se relaciona con el abuso de funciones por parte de empleados públicos, lo que se alinea con el código ICCS 808 que abarca actos contrarios al derecho laboral. La sección ICCS es compatible, y las inclusiones mencionan delitos relacionados con el empleo, que coinciden con el contexto del delito descrito. No se aplican exclusiones que descarten este código.",
232,Apremios ilegítimos con homicidio,"Si con ocasión de los apremios ilegítimos u otros tratos crueles, inhumanos o degradantes se cometiere, además, homicidio.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,101,Homicidio intencional,alta,"El delito CNP 232 describe un homicidio que ocurre como consecuencia de apremios ilegítimos u otros tratos crueles, inhumanos o degradantes. El móvil del delito es el uso de métodos ilegítimos que culminan en la muerte. El código ICCS 101 (Homicidio intencional) se aplica cuando la muerte es causada con la intención de causarla o lesiones graves, lo cual se ajusta al móvil del delito CNP. Las exclusiones de 101 no aplican en este caso, ya que no se trata de un homicidio justificable o legal.",
233,"Apremios ilegítimos con violación, abuso sexual agravado y otros","Si con ocasión de los apremios ilegítimos u otros tratos crueles, inhumanos o degradantes se cometiere, además, alguno de los delitos previstos en los artículos 361, 362, 365 bis, 395, 396 o 397, número 1° del Código Penal.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,3011,Violación,alta,"El delito CNP describe una violación sexual con apremios ilegítimos, lo que se alinea con la definición de 'Violación' en el ICCS 3011, que requiere penetración sexual sin consentimiento válido. La exclusión de 'violación por presunción legal' en 30111 no aplica aquí, ya que el delito CNP no menciona presunción legal, sino violación directa.",violación por presunción legal (030113)
234,Apremios ilegítimos con cuasidelito,"Si con ocasión de los apremios ilegítimos u otros tratos crueles, inhumanos o degradantes se cometiere, además, alguno de los cuasidelitos a que se refiere el artículo 490.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2119,Otras transgresiones contra las personas,alta,"El delito CNP describe apremios ilegítimos con cuasidelito, lo que se alinea con 'Otras transgresiones contra las personas' en el ICCS, que abarca intromisión ilícita e injustificada en la intimidad u otros derechos de una persona. Las exclusiones de 2119 no aplican al delito descrito, ya que no se trata de una intromisión en la intimidad sexual ni de actos específicos como la mutilación de cadáveres.",
235,Secuestro con homicidio,Castiga al que con motivo u ocasión de un secuestro además cometiere homicidio.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP se describe como secuestro con homicidio, lo que se alinea con el código ICCS 20221 (Secuestro), ya que el móvil principal es la privación de libertad. Las exclusiones de 20221 no aplican al delito descrito, ya que no se trata de secuestro de menores ni de toma de rehenes. Además, el código 20221 se encuentra en la sección adecuada (Actos que causan danos o que tienen la intención de causar danos a las personas), lo que refleja el marco jurídico del delito.",
236,Secuestro con violación,Castiga al que con motivo u ocasión de un secuestro además cometiere violación o violación sodomítica en la persona del ofendido.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP 236 se describe como secuestro con violación, lo que se alinea con el código ICCS 20221 (Secuestro), que incluye el secuestro como acto principal. La violación se considera una consecuencia o parte del secuestro, no el móvil principal. Además, el código 20221 no excluye el delito CNP, mientras que otros como 3011 (Violación) se enfocan en el acto sexual como móvil principal, lo cual no es el caso aquí.",Secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02022
237,Secuestro con lesiones,"Castiga al que con motivo u ocasión de un secuestro además cause alguna de las lesiones de los artículos 395, 396 y 397 Nº 1 en la persona del ofendido.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP 237 se refiere al secuestro con lesiones, lo cual se alinea directamente con el código ICCS 20221 (Secuestro), que describe la sustracción y detención ilícita de personas con la finalidad de exigir un provecho ilícito. Las exclusiones de 20221 no aplican al delito CNP, ya que no se trata de secuestro de menores, trata de personas, toma de rehenes ni adopción ilegal. Además, el móvil del delito es el secuestro, no las lesiones, lo que lo clasifica como secuestro.",Secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02022
248,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,"Secuestro que se ejecuta para obtener un rescate o imponer exigencias o arrancar decisiones, o si el encierro o detención se prolongare por más de 24 horas.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP se describe como secuestro con solicitud de rescate o exigencia o que se prolongue por más de 24 horas, lo que coincide con la definición de secuestro en el ICCS 20221, que incluye la intención de exigir un provecho ilícito. No se aplican exclusiones que descarten este código, ya que el delito no corresponde a secuestro de menores, toma de rehenes ni otros casos excluidos.",
249,Secuestro por más de 15 días o con grave daño en la persona o sus intereses,Secuestro que se extiende por más de quince días o si de ello resultare un daño grave en la persona o intereses del secuestrado,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP corresponde a secuestro con duración superior a 15 días o daño grave, lo cual se alinea con la definición de 'Secuestro' en el ICCS 20221. Este código incluye secuestro con finalidad económica o para obligar a alguien, lo que coincide con el móvil del delito. No se aplican exclusiones que descarten este código, ya que el delito no corresponde a secuestro de menores, trata de personas, ni toma de rehenes.",Secuestro de menores (02021); trata de personas (0204); adopción ilegal (020291); toma de rehenes (020222); aplicar todas las exclusiones enumeradas en 02022
299,Otros delitos que afectan los derechos garantidos por la Constitución,Sin descripción,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,NINGUNO,,alta,"El delito CNP 299 no tiene descripción y se refiere a 'otros delitos que afectan los derechos garantidos por la Constitución', lo cual es muy general. Ninguno de los candidatos ICCS se ajusta directamente a esta glosa sin ser demasiado específico o inaplicable por exclusiones. Por ejemplo, el código 503 se refiere a propiedad intelectual, que no se menciona en el CNP 299. Los demás candidatos se refieren a delitos específicos como discriminación, violaciones laborales, etc., que no coinciden con la generalidad del delito CNP 299.",
