cnp_codigo,cnp_glosa,iccs_elegido,iccs_glosa_elegida,confianza
413,Abandono de destino,8082,Violaciones del derecho laboral individual,alta
414,"Abusos contra particulares Arts. 255, 256, 257, 258 y 259",7033,Abuso de funciones,alta
415,Negociación incompatible,7032,Malversación o peculado,alta
416,Tráfico de influencias,7034,Tráfico de influencias,alta
417,Exacciones ilegales cometidas por funcionario público,7033,Abuso de funciones,alta
418,Enriquecimiento ilícito,7035,Enriquecimiento ilícito,alta
419,Fraudes al Fisco y organismos del Estado,70111,Fraude financiero contra el Estado,alta
420,Abusos contra particulares,2061,Negligencia en situaciones de personas bajo cuidado,alta
421,Otros abusos contra particulares,7033,Abuso de funciones,alta
422,Soborno de funcionario público extranjero. Persona natural,7031,Soborno,alta
423,"Soborno, artículo 250. Persona jurídica",7031,Soborno,alta
424,Soborno de funcionario público extranjero. Persona jurídica,7031,Soborno,alta
425,Negociación incompatible por persona jurídica,7033,Abuso de funciones,alta
426,Negociación incompatible de particulares,7039,Otros actos de corrupción,alta
429,Uso de información privilegiada,8045,Manipulación del mercado o utilización indebida de información privilegiada,alta
499,Otros delitos cometidos por empleados públicos en el desempeño de sus cargos,7033,Abuso de funciones,alta
501,Desórdenes públicos,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
502,Obstrucción a la investigación,8061,Obstrucción de la justicia,alta
503,Rotura de sellos,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
504,Crímenes y simples delitos de los proveedores,7032,Malversación o peculado,alta
505,"Lotería ilegal, casas de juego y préstamo sobre prenda",8043,Actos contrarios a las disposiciones sobre apuestas,alta
506,"Violación, revelación y/o aprovechamiento de secretos comerciales",8042,Actos contrarios a disposiciones comerciales o financieras,alta
507,Alteración fraudulenta de precios,702,Falsificación,alta
508,"Propagación de enfermedades que afecten a la salud animal o vegetal; elementos químicos, bacteriológicos, radioactivos",902,Actos contra la salud y la seguridad,alta
509,Abandono o maltrato animal,10091,Actos contra los animales,alta
510,Asociaciones ilícitas,9051,Participación en un grupo delictivo organizado,alta
511,Amenazas de atentados contra personas y propiedades,2012,Amenaza,alta
512,Connivencia en la fuga y evasión culpable de detenidos,8062,Incumplimiento de órdenes judiciales,alta
513,Contra la salud pública. Arts. 313 al 318,902,Actos contra la salud y la seguridad,alta
514,Infracción normas inhumaciones y exhumaciones,2119,Otras transgresiones contra las personas,alta
515,Atentados y amenazas contra la autoridad,8069,Otros actos contra el sistema de justicia,alta
516,Oponerse a la acción de la autoridad pública o sus agentes,8062,Incumplimiento de órdenes judiciales,alta
518,Porte de arma cortante o punzante,9011,Posesión o uso de armas y explosivos,alta
519,"Falsa alarma de incendio, emergencia o calamidad pública",8019,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,alta
520,"Obstrucción a la investigación por fiscal o asistente del fiscal, del Ministerio Público",8061,Obstrucción de la justicia,alta
521,Homicidio de fiscales o defensores en el desempeño de sus funciones,101,Homicidio intencional,alta
522,"Maltrato de obra a fiscales o defensores en el desempeño de sus funciones, incluye castración y mutilación",8069,Otros actos contra el sistema de justicia,alta
523,Amenaza a fiscales o defensores en el desempeño de sus funciones,8061,Obstrucción de la justicia,alta
524,Amenazas simples contra personas y propiedades,2012,Amenaza,alta
525,Amenazas condicionales contra personas y propiedades,2051,Extorsión o chantaje,alta
526,Contra la salud pública. Arts. 313 A y 313 B,902,Actos contra la salud y la seguridad,alta
527,Contra la salud pública. Arts. 313 D al 315 y Art. 317,2071,Actos que ponen en peligro la salud,alta
528,Corrupción entre particulares,703,Corrupción,alta
529,Corrupción entre particulares cometido por personas jurídicas,703,Corrupción,alta
530,Amenazas contra profesionales y funcionarios de salud y manipuladores de alimentos,2012,Amenaza,alta
531,Lesiones contra profesional y funcionario de salud y manipuladores de alimentos,9021,Actos contra la salud y la seguridad en el trabajo,alta
532,Interrumpir libre circulación Ley 21.208 Inc. 1,202,Actos contra la libertad,alta
533,Lanzar objetos a la vía pública con muerte o lesiones Ley 21.208 Inc. 2,2079,Otros actos peligrosos,alta
534,Diseminar gérmenes para causar enfermedad,902,Actos contra la salud y la seguridad,alta
535,Infringir normas higiénicas y de salubridad,2071,Actos que ponen en peligro la salud,alta
536,Propagar contagio a sabiendas,902,Actos contra la salud y la seguridad,alta
537,Empleador que ordena infringir cuarentena,902,Actos contra la salud y la seguridad,alta
538,Ultraje de cadáver,2119,Otras transgresiones contra las personas,alta
539,Ultraje de sepultura,2119,Otras transgresiones contra las personas,alta
540,Uso indebido de facultades asociadas a las técnicas especiales de investigación,7033,Abuso de funciones,alta
541,"Infracción al secreto y prohibición de información relativa a testigos, agentes encubiertos, reveladores e informantes",8061,Obstrucción de la justicia,alta
542,Asociación delictiva o criminal mediante una persona jurídica,9051,Participación en un grupo delictivo organizado,alta
543,Incumplimiento de reserva registro de llamadas,8062,Incumplimiento de órdenes judiciales,alta
544,Atentados contra el medio ambiente,10019,Otros actos que causan contaminación o degradación del medio ambiente,alta
545,Portar aparatos de comunicación en recintos penitenciarios,806,Actos contra el sistema de justicia,alta
546,Omisión denuncia por funcionario público de tenencia elementos tecnológicos,8061,Obstrucción de la justicia,alta
547,Portar injustificadamente combustible en lugares de uso público,8019,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,alta
548,Registro de las actuaciones policiales,806,Actos contra el sistema de justicia,alta
549,Contaminación grave imprudente,1001,Actos que causan contaminación o degradación del medio ambiente,alta
550,"Comercializar, distribuir o instalar máquinas de juegos ilegales Art. 276 bis Código Penal",8043,Actos contrarios a las disposiciones sobre apuestas,alta
551,Delitos medioambientales dolosos,1001,Actos que causan contaminación o degradación del medio ambiente,alta
552,Asociación ilícita para la comisión de simples delitos,9051,Participación en un grupo delictivo organizado,alta
553,Asociación ilícita para la comisión de simples crímenes,9051,Participación en un grupo delictivo organizado,alta
554,Amenaza u ofrecimiento de beneficio económico para prestar falso testimonio u omitir declarar en proceso por asociación ilícita,8061,Obstrucción de la justicia,alta
597,Declaración falsa denunciante anónimo,7019,Otros actos de fraude,alta
599,Otros delitos contra el orden y la seguridad pública cometidos por particulares,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
601,Aborto,106,Feticidio ilegal,alta
602,Abandono de niños,20611,Negligencia en situaciones de menores bajo cuidado,alta
603,Abandono de cónyuge o de parientes enfermos,20612,Negligencia en situaciones de otras personas dependientes bajo cuidado,alta
604,Usurpación de estado civil,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
605,Inducir a un menor a abandonar el hogar,11021,Delitos en razón de la condición de menor de edad,alta
606,Rapto,8021,Delitos de prostitución,alta
607,Violación,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
608,Estupro,30113,Violación por presunción legal,alta
609,Incesto,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
610,Promover o facilitar prostitución de menores,30222,Prostitución infantil,alta
611,Sodomía,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
612,Violación sodomítica,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
613,Abusos deshonestos,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
614,Trata de blancas,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
615,Ultraje público a las buenas costumbres,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
616,Difusión de material pornográfico (pornografía).,8022,Delitos de pornografía,alta
617,Bigamia,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
618,Delitos de significación sexual,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
619,Abuso sexual sin contacto corporal de mayor de 14 años y menor de 18 años,30122,Agresión sexual no física,alta
620,Abuso sexual sin contacto corporal de menor 14 años,30122,Agresión sexual no física,alta
621,Violación de menor de 14 años,30113,Violación por presunción legal,alta
622,Abuso sexual adulto,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
623,Abuso sexual con contacto corporal de menor de 14 años,30113,Violación por presunción legal,alta
624,Aborto consentido por causales no reguladas,106,Feticidio ilegal,alta
625,Aborto sin consentimiento,106,Feticidio ilegal,alta
626,Trata de personas,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
627,Trata de personas calificada,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
628,Violación con homicidio o femicidio,30119,Otras formas de violación,alta
629,Producción material pornográfico utilizando menores de 18 años,30221,Pornografía infantil,alta
630,Comercialización material pornográfico elaborado usando menores de 18 años,30221,Pornografía infantil,alta
631,Adquisición o almacenamiento material pornográfico infantil,30221,Pornografía infantil,alta
632,Obtención de servicios sexuales de menores,30222,Prostitución infantil,alta
633,Abuso sexual calificado (con introducción de objetos o uso de animales),302,Explotación sexual,alta
634,Abuso sexual de mayor de 14 años y menor de 18 años con circunstancia de estupro,30229,Otras formas de explotación sexual de menores,alta
635,Abuso sexual de mayor de 14 (con circunstancias de violación),30119,Otras formas de violación,alta
636,Aborto cometido por facultativo por causales no reguladas,106,Feticidio ilegal,alta
637,Violación de mayor de 14 años,30113,Violación por presunción legal,alta
638,"Captación, grabación y difusión de registros audiovisuales de partes íntimas",30223,Captación de menores con fines sexuales,alta
639,Abuso sexual de mayor de 14 años por sorpresa y/o sin consentimiento,301,Violencia sexual,alta
640,Acoso sexual en lugares públicos o de libre acceso público,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
647,Transmisión de imágenes de connotación sexual de menor 18 años,30221,Pornografía infantil,alta
648,Comercialización de material pornográfico de menores de 18 años,30221,Pornografía infantil,alta
649,Producción material pornográfico utilizando menores de 18 años,30221,Pornografía infantil,alta
650,Adquisición o almacenamiento material pornográfico infantil,30221,Pornografía infantil,alta
651,Exhibición de registros de contenido sexual sin consentimiento,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
652,Difusión de registros de contenido sexual sin consentimiento,8022,Delitos de pornografía,alta
699,"Otros delitos contra el orden de las familias, contra la moralidad pública y contra la integridad sexual",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
701,Parricidio,101,Homicidio intencional,alta
702,Homicidio,101,Homicidio intencional,alta
703,Homicidio calificado,101,Homicidio intencional,alta
704,Homicidio simple,1031,Homicidio no culposo,alta
705,Homicidio en riña o pelea,101,Homicidio intencional,alta
706,Auxilio al suicidio,104,Suicidio asistido o incitación al suicidio,alta
707,Infanticidio,101,Homicidio intencional,alta
708,Lesiones corporales,20111,Agresión grave,alta
709,Lesiones graves,20111,Agresión grave,alta
710,Lesiones menos graves,20112,Agresión leve,alta
715,Calumnia,209,Difamación o insulto,alta
716,Injuria,209,Difamación o insulto,alta
717,Lesiones graves gravísimas,20111,Agresión grave,alta
718,Castración y mutilación,2119,Otras transgresiones contra las personas,alta
719,Mutilación,2119,Otras transgresiones contra las personas,alta
720,Femicidio íntimo,101,Homicidio intencional,alta
721,Tráfico de migrantes,8051,Delitos de tráfico ilícito de migrantes,alta
722,Tráfico de migrantes cometidos por funcionario público,8051,Delitos de tráfico ilícito de migrantes,alta
723,Trata de personas para la explotación sexual,204,Trata de personas,alta
724,Trata de personas menores de 18 años,204,Trata de personas,alta
725,Asociación ilícita para tráfico de migrantes y/o trata de personas,8051,Delitos de tráfico ilícito de migrantes,alta
726,Promover o facilitar entrada o salida de personas del país para prostitución,204,Trata de personas,alta
727,Trata de personas para trabajos forzados y otros,204,Trata de personas,alta
763,Maltrato corporal a menores o personas vulnerables,20611,Negligencia en situaciones de menores bajo cuidado,alta
764,Maltrato cometido por persona con deber de cuidado,20619,Otras formas de negligencia en situaciones de personas bajo cuidado,alta
765,Tratos degradantes a personas vulnerables,204,Trata de personas,alta
766,Femicidio no íntimo,301,Violencia sexual,alta
767,Lesiones graves y menos graves a miembros de bomberos en el ejercicio de sus funciones,20111,Agresión grave,alta
768,"Suicidio femicida, inducción al suicidio y/o al suicidio femicida",104,Suicidio asistido o incitación al suicidio,alta
769,Conspiración para cometer homicidio calificado por premio o promesa remuneratoria,1042,Otros actos de suicidio asistido o incitación al suicidio,alta
770,Conspiración para cometer homicidio calificado por premio o promesa remuneratoria contra autoridades,8064,Conspiración,alta
799,Otros delitos contra las personas,2119,Otras transgresiones contra las personas,alta
801,Hurto simple,502,Hurto,alta
802,Robo con intimidación,401,Robo,alta
803,Robo con violencia,4011,Robo a personas,alta
804,Robo por sorpresa,40111,Robo a personas en lugares públicos,alta
805,Robo calificado,401,Robo,alta
806,Extorsión,2051,Extorsión o chantaje,alta
807,Robo con fuerza en las cosas,501,Robo con entrada ilícita,alta
808,Robo en bienes nacionales de uso público o sitios no destinados a habitación,5024,Hurto de bienes públicos,alta
809,Robo en lugar habitado,501,Robo con entrada ilícita,alta
810,Robo en lugar no habitado,501,Robo con entrada ilícita,alta
811,Abigeato,5025,Hurto de ganado,alta
812,Receptación,7049,Otros actos relacionados con el producto del delito,alta
813,Usurpación,509,Otros actos contra la propiedad solamente,alta
814,Destrucción o alteración de deslindes,504,Daños a la propiedad,alta
815,Insolvencia punible (alzamiento de bienes),509,Otros actos contra la propiedad solamente,alta
816,Estafas y otras defraudaciones contra particulares,701,Fraude,alta
817,Usura,8042,Actos contrarios a disposiciones comerciales o financieras,alta
818,Apropiación indebida (incluye depositario alzado),509,Otros actos contra la propiedad solamente,alta
819,Incendio y otros estragos,504,Daños a la propiedad,alta
820,Daños,504,Daños a la propiedad,alta
821,Hurto de hallazgo,502,Hurto,alta
824,Abuso de firma en blanco,7023,Actos de falsificación de documentos,alta
825,Infracción artículo 454,50229,Otras formas de hurto de bienes personales,alta
826,Hurto agravado,50229,Otras formas de hurto de bienes personales,alta
827,Robo con homicidio,401,Robo,alta
828,Robo con violación,40112,Robo a personas en lugares privados,alta
829,"Robo con castración, mutilación o lesiones graves gravísimas",401,Robo,alta
830,Robo con retención de víctimas o con lesiones graves,401,Robo,alta
831,Robo de vehículo motorizado,40121,Robo de automóviles o vehículos,alta
832,Portar elementos conocidamente destinados a cometer delito de robo,8063,Intención delictiva,alta
833,Usurpación u ocupación violenta de inmueble,509,Otros actos contra la propiedad solamente,alta
834,Usurpación u ocupación de inmueble no violenta sin daños a las cosas,509,Otros actos contra la propiedad solamente,alta
835,Invasión de derechos ajenos,509,Otros actos contra la propiedad solamente,alta
836,Usurpación de aguas,10012,Actos que causan la contaminación o degradación del agua,alta
837,Incendio,504,Daños a la propiedad,alta
838,Incendio con resultado de muerte y/o lesiones,504,Daños a la propiedad,alta
839,Otros estragos,504,Daños a la propiedad,alta
840,Daños simples,504,Daños a la propiedad,alta
841,Daños calificados,504,Daños a la propiedad,alta
845,Fraude de subvenciones,701,Fraude,alta
846,Hurto simple por un valor sobre 40 UTM,502,Hurto,alta
847,Hurto simple por un valor de 4 a 40 UTM,502,Hurto,alta
848,Hurto simple por un valor de media a 4 UTM,502,Hurto,alta
849,Apropiación de cables de tendido eléctrico o de comunicaciones,509,Otros actos contra la propiedad solamente,alta
850,Incendio Art. 475 y siguientes (salvo Art.476 n°3),504,Daños a la propiedad,alta
851,Incendio de bosques,504,Daños a la propiedad,alta
852,Celebración de contrato simulado,701,Fraude,alta
853,Hurto de bienes pertenecientes a redes de suministro público,5026,Hurto de servicios,alta
854,Incendio con peligro para las personas,504,Daños a la propiedad,alta
855,Incendio solo con daños o sin peligro de propagación,504,Daños a la propiedad,alta
856,Apropiación indebida,7032,Malversación o peculado,alta
857,Depositario alzado,502,Hurto,alta
858,Robo con fuerza de cajeros automáticos,40131,Robo a instituciones financieras,alta
859,"Deudor, gerentes, directores, administradores o representantes que actúen en perjuicio de los acreedores",701,Fraude,alta
860,"Veedor o liquidador que realice conductas señaladas en los Arts. 464, 464 bis, 464 ter, y 464 quáter",7032,Malversación o peculado,alta
861,Robo con lesiones graves,20111,Agresión grave,alta
862,Robo con retención de víctimas o lesiones graves,4011,Robo a personas,alta
863,Administración desleal de persona natural,70112,Fraude financiero contra personas naturales o jurídicas,alta
864,Receptación cometida por persona jurídica,7049,Otros actos relacionados con el producto del delito,alta
865,Administración desleal de persona jurídica,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
866,Apropiación indebida cometido por persona jurídica,509,Otros actos contra la propiedad solamente,alta
867,"Robo de vehículo motorizado por sorpresa, violencia o intimidación",40121,Robo de automóviles o vehículos,alta
868,Robo de vehículo utilizando elementos distractivos,50212,Utilización ilegal de vehículos terrestres de motor,alta
869,Receptación de vehículos motorizados,50212,Utilización ilegal de vehículos terrestres de motor,alta
870,Robo con ocasión de calamidad o alteración al orden público,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
871,Hurto con ocasión de calamidad o alteración al orden público,8011,Delitos relacionados con la alteración violenta del orden público,alta
872,Saqueo,409,Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas,alta
877,Portar elementos para provocar incendio o estragos,504,Daños a la propiedad,alta
891,Sustracción de madera,10041,Tala ilegal,alta
892,Sustracción de madera. Persona jurídica,10041,Tala ilegal,alta
896,Posesión o tenencia ilegítima de madera,10041,Tala ilegal,alta
897,Falsificación de documentos para transportar o comercializar madera,7023,Actos de falsificación de documentos,alta
898,Pago de remuneración desproporcionada inferior al Ingreso Mínimo Mensual,808,Actos contrarios al derecho laboral,alta
899,Otros delitos contra la propiedad,509,Otros actos contra la propiedad solamente,alta
901,Cuasidelito de lesiones,206,Negligencia,alta
905,Cuasidelito de homicidio,1031,Homicidio no culposo,alta
909,Negligencia médica,2062,Negligencia profesional,alta
910,Cuasidelito de lesiones cometido por profesionales de la salud,2062,Negligencia profesional,alta
911,Cuasidelito de homicidio cometido por profesionales de la salud,2062,Negligencia profesional,alta
912,Duplicación de inscripciones de derechos de agua,10012,Actos que causan la contaminación o degradación del agua,alta
999,Otros de los cuasidelitos,1109,Otros actos delictivos no clasificados en otra parte,alta
1001,Presunta desgracia,206,Negligencia,alta
1002,Muertes y hallazgo de cadáver,2119,Otras transgresiones contra las personas,alta
1006,Hallazgo de vehículo,50222,Hurto de bienes personales de un vehículo,alta
1007,Ampliación de parte,401,Robo,alta
1012,Intento de suicidio,104,Suicidio asistido o incitación al suicidio,alta
1014,Presunta desgracia infantil,20611,Negligencia en situaciones de menores bajo cuidado,alta
1018,Hallazgo de drogas,6012,"Tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización no destinados al consumo personal",alta
1099,Otros hechos que no constituyan delito,1109,Otros actos delictivos no clasificados en otra parte,alta
1100,"Usurpación u ocupación no violenta, pero con daño en las cosas",504,Daños a la propiedad,alta
1101,Engaño para celebrar contratos para transferir inmuebles,701,Fraude,alta
1102,Incendio solo con daños a terceros,504,Daños a la propiedad,alta
1103,Incendio de cosas de valor inferior a 4 sueldos vitales,504,Daños a la propiedad,alta
2001,Delitos informáticos Ley 19.223,9032,Injerencia ilícita en sistemas o datos informáticos,alta
2002,Sabotaje informático,9032,Injerencia ilícita en sistemas o datos informáticos,alta
2003,Espionaje informático,9033,Interceptación o acceso ilícitos a datos informáticos,alta
2004,Ataque a la integridad de sistema informático,9032,Injerencia ilícita en sistemas o datos informáticos,alta
2005,Acceso ilícito,9031,Acceso ilícito a sistemas informáticos,alta
2006,Interceptación ilícita,9033,Interceptación o acceso ilícitos a datos informáticos,alta
2007,Ataque a la integridad de los datos informáticos,9032,Injerencia ilícita en sistemas o datos informáticos,alta
2008,Falsificación informática,90322,Injerencia ilícita en datos informáticos,alta
2009,Receptación de datos informáticos,9032,Injerencia ilícita en sistemas o datos informáticos,alta
2010,Otros fraudes informáticos,7019,Otros actos de fraude,alta
2011,Abuso de los dispositivos,9039,Otros actos contra sistemas informáticos,alta
3001,Obtención fraudulenta de créditos,7011,Fraude financiero,alta
3002,"Alterar, ocultar o destruir balances, libros antecedentes sujeto a fiscalización",7019,Otros actos de fraude,alta
3003,Invasión del giro bancario,70112,Fraude financiero contra personas naturales o jurídicas,alta
3099,Otros delitos Ley General de Bancos,7023,Actos de falsificación de documentos,alta
4001,Giro doloso de cheques,7011,Fraude financiero,alta
4002,Tacha falsa de firma auténtica,7023,Actos de falsificación de documentos,alta
4003,Giro doloso de cheques (falta de fondos). Acción penal privada,7011,Fraude financiero,alta
4004,Giro doloso de cheques (cuenta cerrada). Acción penal privada,7011,Fraude financiero,alta
4005,Giro doloso de cheques. Acción penal pública,70212,Falsificación de medios de pago distintos del efectivo,alta
4006,Tacha falsa firma auténtica. Acción penal pública,7023,Actos de falsificación de documentos,alta
4099,Otros delitos Ley de Cuentas Corrientes Bancarias y Cheques,7049,Otros actos relacionados con el producto del delito,alta
5001,Delitos que contempla el Código Tributario,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
5002,Comercio clandestino,8042,Actos contrarios a disposiciones comerciales o financieras,alta
5003,Declaración maliciosa de impuestos,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
5004,Obtención indebida de devolución de impuestos,701,Fraude,alta
5005,Facilitación de facturas falsas,7023,Actos de falsificación de documentos,alta
5006,Falta al deber de informar,701,Fraude,alta
5098,Otros delitos del Código Tributario,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
5099,Infracciones tributarias contempladas en otras leyes,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
6001,Calumnias a través de medios de difusión (acción privada),209,Difamación o insulto,alta
6002,Injuria a través de medios de difusión (acción privada),209,Difamación o insulto,alta
6099,Otros delitos Ley 16.643 sobre abusos de publicidad,60219,"Otros actos ilícitos de producción, manipulación, posesión o uso de productos alcohólicos",alta
7001,Elaboración ilegal de drogas o sustancias sicotrópicas,60122,Fabricación ilícita de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7006,Cultivo/cosecha de especies vegetales productoras de estupefacientes,60123,Cultivo ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7007,Tráfico ilícito de drogas,6012,"Tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización no destinados al consumo personal",alta
7012,Receta innecesaria de drogas,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7013,Lavado de dinero,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7014,Asociaciones ilícitas Ley de Drogas,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7030,Desvío ilícito de precursores y sustancias esenciales Art. 3 Ley 20.000,60124,Desviación ilícita de precursores no destinados al consumo personal,alta
