"codigo_iccs","glosa_iccs","descripcion","inclusiones","exclusiones","notas"
"4014","Robo de ganado","Robo de ganado a su cuidador. - Robo, tal como se define en 0401.","Robo de vacas, cabras, ovejas, gallinas u otros tipos de ganado; robo de ganado","Hurto de ganado (05025); aplicar todas las exclusiones enumeradas en 0401","91 El ganado se refiere, como mínimo, a animales domesticados que se utilizan para la obtención de alimentos, fibras y trabajo, y comprende especies como las vacas, ovejas, gallinas, cerdos, caballos y otras."
"4019","Otros actos de robo","Actos de robo no descritos ni clasificados en las categorías 04011 a 04014. - Robo, tal como se define en 0401.","","Aplicar todas las exclusiones enumeradas en 0401",""
"409","Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas","Actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas no descritos ni clasificados en 0401.","Expoliación/pillaje de un lugar no especificado; saqueo","Daños a la propiedad (0504); robo con entrada ilícita, hurto y otros actos contra la propiedad (05); agresiones y amenazas (0201); posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); robo (0401); secuestro o toma de rehenes (02022); aplicar todas las exclusiones enumeradas en 0401",""
"501","Robo con entrada ilícita","Entrada no autorizada en una parte de un edificio o vivienda u otros locales con o sin el uso de la fuerza contra el edificio o vivienda, con la intención de cometer hurto o en el momento de cometerlo efectivamente. - Hurto, tal como se define en 0502.","Robo con fuerza en las cosas; entrada ilícita con la intención de cometer hurto; obtención de acceso mediante engaño con la intención de cometer hurto; aplicar todas las inclusiones enumeradas en 05011 a 05019","Sustracción u obtención ilícitas de bienes con la intención de privar de ellos a una persona u organización de forma permanente o temporal sin consentimiento y sin el uso de la fuerza, amenazas de uso de la fuerza o violencia, coacción o engaño (0502); posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); daños a la propiedad (0504); sustracción u obtención ilícitas de bienes directamente a una persona con la intención de privar de ellos a una persona u organización de forma permanente o temporal mediante el uso de la fuerza o la amenaza de uso de la fuerza (0401)",""
"5011","Robo con entrada ilícita en locales comerciales","Robo con entrada ilícita en locales comerciales. - Robo con entrada ilícita, tal como se define en 0501.","Robo con fuerza en las cosas en locales comerciales; robo mediante embestida con vehículo; entrada ilícita en un local con la intención de cometer hurto","Aplicar todas las exclusiones enumeradas en 0501","92 Los locales comerciales se refieren, como mínimo, a la estructura o la tierra donde se encuentra una empresa comercial o industrial e incluye edificios de oficinas, comercios, clubes, bancos, fábricas, estaciones de servicio, hoteles, centros comerciales, establecimientos de venta al por menor, explotaciones agrícolas, almacenes y otros terrenos o edificaciones."
"5012","Robo con entrada ilícita en domicilios particulares","Robo con entrada ilícita en domicilios particulares. - Robo con entrada ilícita, tal como se define en 0501.","Robo con fuerza en las cosas en domicilios particulares; entrada ilícita en domicilios particulares con la intención de cometer hurto; robo con fuerza en las cosas en cobertizos o garajes que pertenezca a domicilios particulares","Aplicar todas las exclusiones enumeradas en 0501","93 Los domicilios particulares se refieren, como mínimo, a los bienes raíces propios de una persona, o alquilados o arrendados por ella."
"50121","Robo con entrada ilícita en residencias particulares permanentes","Robo con entrada ilícita en domicilios particulares donde las víctimas acostumbran vivir durante la mayor parte del año. - Robo con entrada ilícita, tal como se define en 0501.","Robo con entrada ilícita en una casa, apartamento u otro tipo de vivienda que sea el lugar de residencia habitual de la víctima","Aplicar todas las exclusiones enumeradas en 0501",""
"50122","Robo con entrada ilícita en residencias particulares no permanentes","Robo con entrada ilícita en domicilios particulares donde las víctimas solo viven temporalmente a lo largo del año. - Robo con entrada ilícita, tal como se define en 0501.","Robo con entrada ilícita en casas de verano, robo con entrada ilícita en viviendas secundarias, robo con entrada ilícita en habitaciones de hotel u otros locales alquilados temporalmente","Aplicar todas las exclusiones enumeradas en 0501",""
"5013","Robo con entrada ilícita en locales públicos","Robo con entrada ilícita en locales públicos. - Robo con entrada ilícita, tal como se define en 0501.","Robo con fuerza en las cosas en locales públicos; entrada ilícita en inmuebles públicos con la intención de cometer un delito","Aplicar todas las exclusiones enumeradas en 0501","94 Los locales públicos se refieren, como mínimo, a inmuebles de propiedad del Gobierno u otros órganos públicos, o alquilados o arrendados por estos."
"5019","Otros actos de robo con entrada ilícita","Actos de robo con entrada ilícita no descritos ni clasificados en las categorías 05011 a 05013. - Robo con entrada ilícita, tal como se define en 0501.","Robo con entrada ilícita en casas móviles; robo con entrada ilícita en locales que no se pueden identificar como locales públicos, privados o comerciales","Aplicar todas las exclusiones enumeradas en 0501",""
"502","Hurto","Sustracción u obtención ilícitas de bienes con la intención de privar permanentemente de ellos a una persona u organización, sin consentimiento y sin el uso de la fuerza, amenazas de uso de la fuerza o violencia, coacción o engaño.","Aplicar todas las inclusiones enumeradas en 05021 a 05029","Posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); obtención de dinero u otros beneficios o evasión de responsabilidades por medios engañosos o conducta deshonesta (0701); robo (0401); daños a la propiedad (0504); hurto tras el acceso no autorizado a un local (0501); hurto de propiedad intelectual (0503); robo de identidad (07019)",""
"5021","Hurto de vehículos de motor o de sus piezas","Hurto de un vehículo de motor o de piezas de vehículos de motor. - Hurto, tal como se define en 0502. - Vehículo de motor, tal como se define en la nota 95.","Aplicar todas las inclusiones enumeradas en 050211 a 050219","Robo de automóviles o vehículos (040121); aplicar todas las exclusiones enumeradas en 0502","95 Por vehículos de motor se entienden todos los vehículos automotores, con inclusión de automóviles, motocicletas, embarcaciones y aeronaves."
"50211","Hurto de vehículos terrestres de motor","Hurto de vehículos terrestres de motor. - Hurto, tal como se define en 0502. - Vehículo terrestre de motor, tal como se define en la nota 95.","Sustracción de automóviles, furgonetas o camiones; hurto de motocicleta","Utilización ilegal de un vehículo de motor (050212); hurto de piezas de vehículos de motor (050213); hurto de bienes personales de un vehículo de motor (050221); aplicar todas las exclusiones enumeradas en 05021","95 Por vehículo terrestre de motor se entienden todos los vehículos terrestres de motor que transitan por las carreteras, incluidos los automóviles, motocicletas, autobuses, camiones y vehículos agrícolas o de construcción."
"50212","Utilización ilegal de vehículos terrestres de motor","Sustracción u obtención ilícitas de un vehículo terrestre de motor con la intención de privar permanentemente de él a una persona u organización, sin consentimiento y sin el uso de la fuerza, amenazas de uso de la fuerza o violencia, coacción o engaño. - Vehículo terrestre de motor, tal como se define en la nota 95.","Robo temporal de un vehículo","Sustracción u obtención ilícitas de un vehículo de motor con la intención de privar permanentemente de él a su propietario (050211); hurto de piezas de vehículos de motor (050213); hurto de embarcaciones, aeronaves y otros vehículos (050219); hurto de bienes personales de un vehículo de motor (050221); aplicar todas las exclusiones enumeradas en 05021","95 Por vehículo terrestre de motor se entienden todos los vehículos terrestres de motor que transitan por las carreteras, incluidos los automóviles, motocicletas, autobuses, camiones y vehículos agrícolas o de construcción."
"50213","Hurto de piezas de vehículos terrestres de motor","Hurto de piezas de vehículos terrestres de motor. - Hurto, tal como se define en 0502. - Piezas, tal como se definen en la nota 95. - Vehículo terrestre de motor, tal como se define en la nota 95.","Hurto de neumáticos, motores, transmisiones, ventanillas de automóviles, etc.","Trasvase de lubricantes o combustibles o hurto de bienes personales de un vehículo de motor (050221); aplicar todas las exclusiones enumeradas en 05021","95 Las piezas de vehículos son todo elemento o repuesto específicamente concebido para un vehículo y que son esenciales para su funcionamiento, con inclusión de motores, transmisiones, neumáticos y ventanillas."
"50219","Otras formas de hurto de vehículos de motor o de sus piezas","Hurto de vehículos de motor o de piezas de vehículos de motor no descrito ni clasificado en las categorías 050211 a 050213. - Hurto, tal como se define en 0502. - Vehículo de motor, tal como se define en la nota 95.","Hurto de embarcaciones o aeronaves; hurto de piezas de embarcaciones o aeronaves","Trasvase de lubricantes o combustibles o hurto de bienes personales de un vehículo de motor (050222); secuestro de vehículos y aeronaves (020223); aplicar todas las exclusiones enumeradas en 05021","95 Por vehículos de motor se entienden todos los vehículos automotores, con inclusión de automóviles, motocicletas, embarcaciones y aeronaves."
"5022","Hurto de bienes personales","Hurto de bienes personales. - Hurto, tal como se define en 0502. - Bienes personales, tal como se definen en la nota 87.","Hurto cometido tras entrar lícitamente en un lugar; aplicar todas las inclusiones enumeradas en 050221 a 050229","Hurto de vehículos terrestres de motor o de piezas de vehículos terrestres de motor (05021); hurto de bienes comerciales (05023); hurto de bienes públicos (05024); hurto de ganado (05025); hurto de mascotas (05025); aplicar todas las exclusiones enumeradas en 0502","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"50221","Hurto de bienes personales a una persona","Hurto de bienes que una persona lleva consigo. - Hurto, tal como se define en 0502. - Bienes personales, tal como se definen en la nota 87.","Carterismo; arrebato de bolsos que no equivale a robo","Robo de bicicleta (050229); aplicar todas las exclusiones enumeradas en 05022","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"50222","Hurto de bienes personales de un vehículo","Hurto de bienes personales de un vehículo. - Hurto, tal como se define en 0502. - Vehículo, tal como se define en la nota 49. - Bienes personales, tal como se definen en la nota 87.","Hurto de una cartera de un vehículo; hurto de un dispositivo electrónico de un vehículo; hurto de un dispositivo GPS; trasvase de gasolina o gasóleo","Hurto de piezas de vehículos terrestres de motor (050213); aplicar todas las exclusiones enumeradas en 05022","49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos... 87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"50229","Otras formas de hurto de bienes personales","Hurto de bienes personales no descrito ni clasificado en las categorías 050221 y 050222. - Hurto, tal como se define en 0502. - Bienes personales, tal como se definen en la nota 87.","Hurto sin entrar ilícitamente en una vivienda; hurto de bienes encontrados fuera de la vivienda; hurto de garajes o cobertizos sin puerta que los comunique con la vivienda; robo de bicicleta; hurto de mascotas","Aplicar todas las exclusiones enumeradas en 05022","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"5023","Hurto de bienes comerciales","Hurto de bienes muebles que no sean un vehículo de una empresa. - Por bienes muebles se entiende cualquier activo distinto a los bienes raíces. - Hurto, tal como se define en 0502. - Vehículo, tal como se define en la nota 49.","Cenar y huir antes de pagar la cuenta; marcharse sin pagar; hurto por empleados; aplicar todas las inclusiones enumeradas en 050231 a 050239","Robo con entrada ilícita en locales comerciales (05011); robo a establecimientos o instituciones (04013); hurto de bienes públicos (05024); hurto de propiedad privada (05022); hurto de ganado (05025); hurto de vehículos o de sus piezas (05021); aplicar todas las exclusiones enumeradas en 0502","49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos..."
"50231","Hurto en tiendas","Hurto de bienes comerciales de establecimientos de venta al por menor. - Hurto, tal como se define en 0502.","Ratería en tiendas; hurto de mercancías de un establecimiento de venta","Aplicar todas las exclusiones enumeradas en 05023",""
"50239","Otras formas de hurto de bienes comerciales","Hurto de bienes comerciales en locales que no sean locales de venta al por menor. - Hurto, tal como se define en 0502.","Hurto de suministros empresariales o útiles de oficina por un empleado; hurto de máquinas expendedoras; hurto en hoteles, restaurantes, cines, teatros, lugares de entretenimiento, oficinas y talleres","Aplicar todas las exclusiones enumeradas en 05023",""
"5024","Hurto de bienes públicos","Hurto de bienes muebles públicos que no sean vehículos. - Hurto, tal como se define en 0502. - Vehículo, tal como se define en la nota 49.","Hurto de bienes públicos; hurto de equipos de parques públicos","Hurto de energía eléctrica, agua u otros servicios públicos (05026); robo a establecimientos o instituciones (04013); hurto de vehículos o de sus piezas (05021); hurto de propiedad privada (05022); hurto de bienes comerciales (05023); hurto de ganado (05025); aplicar todas las exclusiones enumeradas en 0502","49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos... 96 Por bienes públicos se entienden los bienes de propiedad del Gobierno que no sean bienes raíces."
"5025","Hurto de ganado","Hurto de ganado. - Hurto, tal como se define en 0502. - Ganado, tal como se define en la nota 91.","Hurto de vacas, gallinas, ovejas, peces, etc.","Robo de ganado (04014); hurto de mascotas (050229); aplicar todas las exclusiones enumeradas en 0502","91 El ganado se refiere, como mínimo, a animales domesticados que se utilizan para la obtención de alimentos, fibras y trabajo, y comprende especies como las vacas, ovejas, gallinas, cerdos, caballos y otras."
"5026","Hurto de servicios","Hurto de servicios. - Hurto, tal como se define en 0502.","Hurto de energía eléctrica, agua u otros servicios públicos; hurto de señales de televisión o cable; evasión del pago del transporte público; impago de servicios","Fraude (0701); aplicar todas las exclusiones enumeradas en 0502",""
"5029","Otros actos de hurto","Hurto de bienes no descrito ni clasificado en las categorías 05021 a 05026. - Hurto, tal como se define en 0502.","Hurto de correspondencia; robo mediante conversión","Aplicar todas las exclusiones enumeradas en 0502",""
"503","Delitos contra la propiedad intelectual","Copia, utilización o reproducción ilegal u otras violaciones del derecho de autor, patentes, marcas de fábrica o de comercio u otros tipos de propiedad intelectual.","Hurto de propiedad intelectual; violaciones del derecho de autor; apropiación ilícita de derechos de autor; piratería de programas informáticos; espionaje industrial que no equivale a falsificación","Creación, fabricación, traslado o posesión de productos falsificados de marca, o protegidos por patentes, licencias o de otro modo (07022); hurto (0502); posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); robo de identidad (07019); falsificación (0702); actos contra sistemas informáticos que no equivalen a piratería de programas informáticos (0903)","97 La propiedad intelectual se define, como mínimo, como invenciones; obras artísticas y literarias; y símbolos, imágenes y nombres utilizados en el comercio. Las patentes se definen como un derecho exclusivo concedido a una invención que es el producto o proceso que ofrece una nueva manera de hacer algo o una nueva solución técnica para un problema. El derecho de autor se define como un término jurídico que engloba a los derechos concedidos a los creadores por sus obras literarias y artísticas. Las marcas de fábrica o de comercio se definen como un signo distintivo que indica que determinados bienes han sido producidos o determinados servicios han sido prestados por una persona o empresa concretas."
"504","Daños a la propiedad","Destrucción, daños o degradación intencional de bienes.","Incendio premeditado; daños a la propiedad por explosión; vandalismo; pintadas; sabotaje que no equivale a un acto negligente o peligroso; inundación ilegal; sabotaje que no equivale a un acto negligente o peligroso; atropello con fuga que cause daños a la propiedad, daño intencional a un vehículo de motor; aplicar todas las inclusiones enumeradas en 05041 a 05049","Robo en inmuebles con fuerza en las cosas (0501); el daño a sistemas o datos informáticos se codifica como un acto contra sistemas informáticos (0903); matar o hacer daño a animales (10091); daño al medio ambiente (10)",""
"5041","Daños a bienes públicos","Destrucción, daños o degradación intencional de públicos. - Bienes o inmuebles públicos, tal como se definen en la nota 96.","Destrucción de instalaciones gubernamentales; daños físicos a bienes o inmuebles públicos escolares","Aplicar todas las exclusiones enumeradas en 0504","96 Por bienes públicos se entienden los bienes de propiedad del Gobierno que no sean bienes raíces."
"5042","Daños a bienes personales","Destrucción, daños o degradación intencional de bienes personales.","Destrucción de viviendas particulares; daños a bienes personales","Aplicar todas las exclusiones enumeradas en 0504",""
"5043","Daños a bienes comerciales","Destrucción, daños o degradación intencional de bienes comerciales.","Destrucción de bienes comerciales; daños a bienes comerciales","Aplicar todas las exclusiones enumeradas en 05042",""
"5049","Otros daños a bienes","Destrucción, daños o degradación intencional de bienes no descritos ni clasificados en las categorías 05041- 05043.","","Aplicar todas las exclusiones enumeradas en 0504",""
"509","Otros actos contra la propiedad solamente","Los actos contra la propiedad solamente que no estén descritos ni clasificados en las categorías 0501 a 0504.","Apropiación ilícita de bienes; ocupación ilegal de un inmueble; adquisición ilícita de viviendas o terrenos; violación de domicilio; entrada y ocupación forzada","Daños a la propiedad (0504); daño a sistemas informáticos (0903); daño al medio ambiente (10); aplicar todas las exclusiones enumeradas en 0501 a 0504",""
"601","Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización","Manipulación, posesión, adquisición, utilización, tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización para consumo personal y no personal.","Aplicar todas las inclusiones enumeradas en 06011 a 06019","Utilización de un vehículo bajo los efectos de sustancias psicoactivas (02072); causar la muerte por conducir bajo la influencia de drogas o alcohol (010321)","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971. Los precursores son sustancias utilizadas frecuentemente en la producción ilícita de estupefacientes y sustancias sicotrópicas, tal como se definen en la Convención contra el Tráfico Ilícito de Estupefacientes y Sustancias Sicotrópicas de 1988."
"6011","Posesión, adquisición, utilización, cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal","Posesión, adquisición, utilización, cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Posesión de drogas; consumo de drogas; cultivo de drogas para consumo personal; aplicar todas las inclusiones enumeradas en 060111 y 060112","Aplicar todas las exclusiones enumeradas en 0601","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"60111","Posesión, adquisición o uso ilícitos de drogas sujetas a fiscalización para consumo personal","Posesión, adquisición o uso ilícitos de drogas sujetas a fiscalización para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Posesión de drogas; consumo de drogas","Aplicar todas las exclusiones enumeradas en 06011","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"60112","Cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal","Cultivo, producción, fabricación, extracción o preparación ilícitos de drogas sujetas a fiscalización para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Cultivo de drogas para consumo personal","Aplicar todas las exclusiones enumeradas en 06011","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"6012","Tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización no destinados al consumo personal","Oferta, oferta para la venta, distribución, entrega, corretaje, envío, expedición en tránsito, transporte, importación o exportación, cultivo, producción, fabricación, extracción o preparación ilícitos de drogas o precursores sujetos a fiscalización, no en relación con el uso o posesión de drogas para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98. - Precursores, tal como se definen en la nota 98.","Cultivo de drogas no destinadas al consumo personal; producción de drogas; tráfico de drogas; aplicar todas las inclusiones enumeradas en 060121 a 060129","Aplicar todas las exclusiones enumeradas en 0601","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971. Los precursores son sustancias utilizadas frecuentemente en la producción ilícita de estupefacientes y sustancias sicotrópicas, tal como se definen en la Convención contra el Tráfico Ilícito de Estupefacientes y Sustancias Sicotrópicas de 1988."
"60121","Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal","Oferta ilícita, oferta para la venta, distribución, entrega, corretaje, envío, expedición en tránsito, transporte, importación o exportación de drogas o precursores sujetos a fiscalización, no en relación con el uso o posesión de drogas para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Venta de drogas, tráfico de drogas; reventa de drogas, venta al por menor de drogas a través de Internet; organización, supervisión o administración de una empresa de distribución de drogas; importación o exportación de drogas ilícitas; venta, oferta para la venta, distribución, comercialización o publicidad de drogas o precursores ilícitos; facilitación de una operación de narcotráfico","Delitos de importación o exportación (08042); delitos aduaneros (08041); aplicar todas las exclusiones enumeradas en 06012","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"60122","Fabricación ilícita de drogas sujetas a fiscalización no destinadas al consumo personal","Producción, fabricación, extracción o preparación ilícitas de drogas sujetas a fiscalización, no en relación con el uso o posesión de drogas para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Fabricación ilícita de drogas sujetas a fiscalización; cocción ilícita de drogas sujetas a fiscalización; fabricación ilícita de drogas en laboratorios clandestinos","Cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal (060112); aplicar todas las exclusiones enumeradas en 06012","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"60123","Cultivo ilícito de drogas sujetas a fiscalización no destinadas al consumo personal","Cultivo ilícito de drogas sujetas a fiscalización, no en relación con el uso o posesión de drogas para consumo personal. - Drogas sujetas a fiscalización, tal como se definen en la nota 98.","Cultivo de drogas no destinadas al consumo personal","Cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal (060112); aplicar todas las exclusiones enumeradas en 06012","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971."
"60124","Desviación ilícita de precursores no destinados al consumo personal","Fabricación, transporte o distribución ilícitos de precursores, no en relación con el uso o posesión de drogas para consumo personal. - Precursores, tal como se definen en la nota 98.","Desviación ilícita de precursores; tráfico de precursores","Aplicar todas las exclusiones enumeradas en 06012","98 Los precursores son sustancias utilizadas frecuentemente en la producción ilícita de estupefacientes y sustancias sicotrópicas, tal como se definen en la Convención contra el Tráfico Ilícito de Estupefacientes y Sustancias Sicotrópicas de 1988."
"60129","Otros actos ilícitos de tráfico, cultivo o producción de drogas o precursores sujetos a fiscalización no destinados al consumo personal","Otros actos ilícitos de tráfico, cultivo o producción de drogas o precursores sujetos a fiscalización no destinados al consumo personal que no estén descritos ni clasificados en las categorías 060121 a 060124. - Drogas sujetas a fiscalización, tal como se definen en la nota 98. - Precursores, tal como se definen en la nota 98.","Tráfico de equipo para la fabricación, producción o cultivo ilícitos de drogas sujetas a fiscalización","Aplicar todas las exclusiones enumeradas en 06012","98 Las drogas sujetas a fiscalización son estupefacientes y sustancias sicotrópicas clasificadas como tales con arreglo a la Convención Única de 1961 sobre Estupefacientes, enmendada por el Protocolo de 1972, y el Convenio sobre Sustancias Sicotrópicas de 1971. Los precursores son sustancias utilizadas frecuentemente en la producción ilícita de estupefacientes y sustancias sicotrópicas, tal como se definen en la Convención contra el Tráfico Ilícito de Estupefacientes y Sustancias Sicotrópicas de 1988."
