"codigo_iccs","glosa_iccs","descripcion","inclusiones","exclusiones","notas"
"908","Otros actos contra la seguridad pública y la seguridad del Estado","Actos que puedan poner en peligro la seguridad pública y la seguridad del Estado no descritos ni clasificados en las categorías 0901 a 0907.","Formación de milicias; contratación de mercenarios; ocultación de cadáveres","Aplicar todas las exclusiones enumeradas en 0901 a 0907",""
"1001","Actos que causan contaminación o degradación del medio ambiente","Actos que provocan la contaminación del entorno natural.","Contaminación del aire, el agua y el suelo; aplicar todas las inclusiones enumeradas en 10011 a 10019","Contaminación o degradación mediante el traslado o vertimiento ilícitos de desechos (1002); delitos relacionados con la basura (0801); destrucción, daños o degradación intencional de propiedad pública o privada (0504)","135 El entorno natural se refiere, como mínimo, al entorno en el que tiene lugar la interacción de todas las especies vivas."
"10011","Actos que causan la contaminación o degradación del aire","Actos que provocan la contaminación o la degradación del aire.","Contaminación del aire","Contaminación del aire causada por la minería ilegal, la tala ilegal u otros actos que provocan el agotamiento o la degradación de los recursos naturales (1004); aplicar todas las exclusiones enumeradas en 1001","136 Por contaminación del aire se entiende la contaminación directa o indirecta del medio interno o externo con cualquier agente químico, físico o biológico que modifique las características naturales de la atmósfera."
"10012","Actos que causan la contaminación o degradación del agua","Actos que provocan la contaminación o la degradación del agua.","Contaminación del agua","Contaminación del agua causada por la minería ilegal, la tala ilegal u otros actos que provocan el agotamiento o la degradación de los recursos naturales (1004); contaminación o degradación del agua mediante el traslado o vertimiento ilícitos de desechos (1002); aplicar todas las exclusiones enumeradas en 1001","137 Por contaminación del agua se entiende la introducción directa o indirecta de sustancias o energía en una masa de agua, servicio de acueducto o entorno marino..."
"10013","Actos que causan la contaminación o degradación del suelo","Actos que provocan la contaminación o la degradación del suelo.","Contaminación del suelo","Contaminación del suelo causada por la minería ilegal, la tala ilegal u otros actos que provocan el agotamiento o la degradación de los recursos naturales (1004); contaminación o degradación del suelo mediante el traslado o vertimiento ilícitos de desechos (1002); aplicar todas las exclusiones enumeradas en 1001","138 La contaminación del suelo se refiere, como mínimo, a la contaminación directa o indirecta del suelo con cualquier agente químico, físico o biológico que modifique sus características naturales."
"10019","Otros actos que causan contaminación o degradación del medio ambiente","Actos que provocan la contaminación del entorno natural no descritos ni clasificados en las categorías 10011 a 10013. - Entorno natural, tal como se define en la nota 135.","Contaminación con ruido, vibraciones, calor, luz o radiaciones; delitos relacionados con sustancias nucleares y químicas peligrosas","Aplicar todas las exclusiones enumeradas en 1001","135 El entorno natural se refiere, como mínimo, al entorno en el que tiene lugar la interacción de todas las especies vivas."
"1002","Actos relacionados con el traslado o vertimiento de desechos","Actos relacionados con el traslado o vertimiento ilícitos de desechos.","Tráfico ilícito de desechos; traslado ilícito de desechos; vertimiento ilícito de desechos; aplicar todas las inclusiones enumeradas en 10021 y 10022","Delitos relacionados con la basura (0801)","139 El traslado o vertimiento se refiere, como mínimo, a la recogida, transporte, recuperación, eliminación o envío ilícitos de desechos que causen, o sea probable que causen, lesiones graves a una persona o daños materiales sustanciales a la calidad del aire, el suelo o el agua, o a la fauna o la flora."
"10021","Actos relacionados con el traslado o vertimiento de desechos dentro de las fronteras nacionales","Actos relacionados con el traslado o vertimiento ilícitos de desechos cuyo origen, prevención o efectos directos o indirectos afectan a un solo país. - Traslado y vertimiento, tal como se definen en la nota 139.","Vertimiento ilícito interno de desechos, traslado o tráfico ilícito interno de desechos","Aplicar todas las exclusiones enumeradas en 1002","139 El traslado o vertimiento se refiere, como mínimo, a la recogida, transporte, recuperación, eliminación o envío ilícitos de desechos..."
"10022","Actos relacionados con el traslado o vertimiento transfronterizos de desechos","Actos relacionados con el traslado o vertimiento ilícitos de desechos cuyo origen, prevención o efectos directos o indirectos afectan a más de un país. - Traslado y vertimiento, tal como se definen en la nota 139.","Tráfico transfronterizo de desechos","Aplicar todas las exclusiones enumeradas en 1002","139 El traslado o vertimiento se refiere, como mínimo, a la recogida, transporte, recuperación, eliminación o envío ilícitos de desechos..."
"1003","Comercio o posesión de especies protegidas o prohibidas de la fauna y la flora","Comercio o posesión ilícitos de especímenes de especies protegidas o prohibidas de fauna y flora silvestres.","Tráfico de especies silvestres, comercio o posesión ilícitos de especies silvestres; aplicar todas las inclusiones enumeradas en 10031 y 10032","Hurto de mascotas (050221); delitos relacionados con el tratamiento o la cría de animales (10091); robo de ganado (04014); hurto de ganado (05025)","140 Un espécimen es cualquier animal o planta, vivo o muerto, o cualquier parte o derivado identificable de animales o plantas. Una especie protegida es una especie de fauna o flora que se encuentra bajo protección debido al riesgo de extinción... Una especie prohibida es una especie de fauna o flora prohibida por las leyes nacionales debido a su carácter invasivo..."
"10031","Comercio o posesión de especies protegidas de fauna y flora silvestres","Comercio o posesión ilícitos de especímenes de especies protegidas de fauna y flora silvestres. - Especies protegidas, tal como se definen en la nota 140.","Tráfico de marfil; aplicar todas las inclusiones enumeradas en 100311 y 100312","Aplicar todas las exclusiones enumeradas en 1003","140 Una especie protegida es una especie de fauna o flora que se encuentra bajo protección debido al riesgo de extinción creado por su escaso número, por la caza o pesca excesiva, cambio ambiental, depredación u otras razones."
"100311","Comercio o posesión de especies protegidas dentro de las fronteras nacionales","Comercio o posesión ilícitos de especímenes de especies protegidas de fauna y flora silvestres que afectan a un solo país. - Especies protegidas, tal como se definen en la nota 140.","Comercio o posesión ilícitos de especies amenazadas","Aplicar todas las exclusiones enumeradas en 10031","140 Una especie protegida es una especie de fauna o flora que se encuentra bajo protección debido al riesgo de extinción creado por su escaso número, por la caza o pesca excesiva, cambio ambiental, depredación u otras razones."
"100312","Tráfico transfronterizo de especies protegidas","Importación, exportación, adquisición, venta, traslado o transferencia ilícitas de especies protegidas de fauna y flora silvestres que afecte a dos o más países. - Especies protegidas, tal como se definen en la nota 140.","Tráfico transfronterizo de especies silvestres","Aplicar todas las exclusiones enumeradas en 1003","140 Una especie protegida es una especie de fauna o flora que se encuentra bajo protección debido al riesgo de extinción creado por su escaso número, por la caza o pesca excesiva, cambio ambiental, depredación u otras razones."
"10032","Comercio o posesión de especies animales prohibidas o controladas","Comercio o posesión ilícitos de especímenes de especies prohibidas o controladas de fauna y flora silvestres. - Especies prohibidas, tal como se definen en la nota 140.","Posesión de animales peligrosos o controlados; cría de animales peligrosos; comercio de especies prohibidas","Aplicar todas las exclusiones enumeradas en 1003","140 Una especie prohibida es una especie de fauna o flora prohibida por las leyes nacionales debido a su carácter invasivo que afecta al medio ambiente, porque entraña peligro para las personas, o por otras posibilidades de causar daño."
"10039","Otras formas de comercio o posesión de especies protegidas o prohibidas de la fauna y la flora","Otros actos de comercio o posesión ilícitos de especies protegidas o prohibidas de la fauna y la flora no descritos ni clasificados en las categorías 10031 y 10032. - Especies prohibidas, tal como se definen en la nota 140.","","Aplicar todas las exclusiones enumeradas en 1003","140 Una especie prohibida es una especie de fauna o flora prohibida por las leyes nacionales debido a su carácter invasivo que afecta al medio ambiente, porque entraña peligro para las personas, o por otras posibilidades de causar daño."
"1004","Actos que provocan el agotamiento o la degradación de los recursos naturales","Actos que acarrean la explotación ilícita o el agotamiento de los recursos naturales, especies de fauna y flora, la tierra, el agua o el aire.","Aplicar todas las inclusiones enumeradas en 10041 a 10049","Actos que provocan la contaminación del entorno natural que no equivalen a agotamiento o degradación (1001)",""
"10041","Tala ilegal","Extracción, corte, cosecha, transporte, compra o venta ilícitos de madera.","Tala ilegal; corte y quema ilegal; extracción ilegal de arena","Aplicar todas las exclusiones enumeradas en 1004",""
"10042","Caza, pesca o recolección ilegales de fauna y flora silvestres","Caza, pesca, recolección u obtención ilícitas de especies de fauna y flora silvestres.","Caza ilegal, pesca ilegal, caza furtiva","Aplicar todas las exclusiones enumeradas en 1004",""
"10043","Minería ilegal","Extracción ilícita de menas o minerales del suelo.","Tráfico de minerales preciosos; minería ilegal; realización de actividades de minería sin tener los derechos sobre la tierra ni licencias de extracción minera; minería en contravención de las normas ambientales o de seguridad","Aplicar todas las exclusiones enumeradas en 1004",""
"10049","Otros actos que provocan el agotamiento o la degradación de los recursos naturales","Actos que agotan los recursos naturales, no descritos ni clasificados en las categorías 10041 a 10043.","","Aplicar todas las exclusiones enumeradas en 1004",""
"1009","Otros actos contra el entorno natural","Actos ilícitos con posibilidades de causar daño al entorno natural que no estén descritos ni clasificados en las categorías 1001 a 1004. - Entorno natural, tal como se define en la nota 135.","Falta de protección de la salud y el bienestar de la flora y la fauna; aplicar todas las inclusiones enumeradas en 10091 a 10092","Aplicar todas las exclusiones enumeradas en 1001 a 1008","135 El entorno natural se refiere, como mínimo, al entorno en el que tiene lugar la interacción de todas las especies vivas."
"10091","Actos contra los animales","Tratamiento o cría ilegal de animales.","Delitos relacionados con la propiedad o el bienestar de los animales (que no equivalen a delitos relacionados con el comercio de especies silvestres); crueldad con las mascotas; violación de restricciones aplicables a las temporadas de caza; crueldad con los animales; maltrato de animales","Hurto de mascotas (050221); hurto de ganado (05025); robo de ganado (04014)",""
"10099","Otros actos contra el entorno natural","Otros actos contra el entorno natural no descritos ni clasificados en 10091. - Entorno natural, tal como se define en la nota 135.","Contrabando de sustancias que agotan el ozono; utilización ilícita de sustancias que agotan el ozono","Tratamiento o cría ilegal de animales (10091); aplicar todas las exclusiones enumeradas en 1001 a 1008","135 El entorno natural se refiere, como mínimo, al entorno en el que tiene lugar la interacción de todas las especies vivas."
"1101","Actos bajo jurisdicción universal","Actos abarcados por los instrumentos universales de derechos humanos y que puedan ser procesados por un tribunal internacional de justicia.","Aplicar todas las inclusiones enumeradas en 11011 a 11019","",""
"11011","Tortura","Tortura de una persona","Tortura","Actos que causan daños o que tienen la intención de causar daños a las personas que no equivalen a tortura (02)","141 La tortura es todo acto por el cual se inflija intencionadamente a una persona dolores o sufrimientos graves, ya sean físicos o mentales, con el fin de obtener de ella o de un tercero información o una confesión..."
"11012","Piratería","La piratería es todo acto de violencia, detención o depredación cometidos con un propósito personal por la tripulación o los pasajeros de un buque privado o de una aeronave privada y dirigidos contra un buque o una aeronave en alta mar o contra personas o bienes a bordo de ellos, o contra un buque o una aeronave, personas o bienes que se encuentren en un lugar no sometido a la jurisdicción de ningún Estado, con inclusión de actos de participación, incitación o facilitación de tales actos.","Todo acto de participación voluntaria en la utilización de un buque o de una aeronave, cuando el que lo realice tenga conocimiento de hechos que den a dicho buque o aeronave el carácter de buque o aeronave pirata; todo acto que tenga por objeto incitar o facilitar intencionalmente un acto de piratería; tomar el control de un medio de transporte","Cuando la tripulación o los pasajeros de un buque privado o de una aeronave privada cometen delitos que no sean en alta mar, se codifican según el delito concreto; apoderamiento ilícito de un vehículo con su ocupantes mediante el uso de la fuerza o la amenaza de uso de la fuerza por una persona, cuando no sea en alta mar (020223)","142 Naciones Unidas. Convención sobre el Derecho del Mar. Nueva York."
"11013","Crímenes de guerra","Actos que constituyan violaciones graves de las leyes y los usos aplicables en los conflictos armados según lo expresado en el Estatuto de la Corte Penal Internacional (Estatuto de Roma) y en los Convenios de Ginebra (1949).","Crímenes de guerra tipificados en el derecho internacional humanitario, incluido el homicidio ilícito de civiles por las partes en un conflicto armado; violación relacionada con conflictos armados o y otros actos incluidos en el artículo 8 del Estatuto de Roma; aplicar todas las inclusiones enumeradas en 110131 a 110139","","143 Los crímenes de guerra, según el Estatuto de Roma, incluyen infracciones graves de los Convenios de Ginebra de 12 de agosto de 1949, otras violaciones graves de las leyes y los usos aplicables en los conflictos armados internacionales..."
"110131","Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados","Actos que provocan la muerte o lesiones graves, o que tengan el propósito de causar muerte o lesiones graves en contravención de las leyes y los usos aplicables en los conflictos armados según lo expresado en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Homicidio intencional; causar intencionalmente grandes sufrimientos o lesiones graves que afecten la integridad física o la salud; homicidio ilícito de civiles por las partes en un conflicto armado; causar la muerte o heridas a un combatiente que haya depuesto las armas y se haya entregado; hacer padecer hambre a los civiles intencionalmente como método de guerra; someter a personas a mutilación física o a experimentos médicos o científicos injustificados o contrarios a los intereses de las personas; causar la muerte o heridas a traición a personas pertenecientes a la nación o al ejército enemigo; declarar que no se dará cuartel","Homicidio intencional que no equivale a crimen de guerra (0101); tentativa de homicidio intencional que no equivale a crimen de guerra (0102); homicidio no intencional que no equivale a crimen de guerra (0103)",""
