cnp_codigo,cnp_glosa,top1_codigo,top1_score,top1_glosa,top2_codigo,top2_score,top2_glosa,top3_codigo,top3_score,top3_glosa,top4_codigo,top4_score,top4_glosa,top5_codigo,top5_score,top5_glosa,top6_codigo,top6_score,top6_glosa,top7_codigo,top7_score,top7_glosa,top8_codigo,top8_score,top8_glosa,top9_codigo,top9_score,top9_glosa,top10_codigo,top10_score,top10_glosa
233,"Apremios ilegítimos con violación, abuso sexual agravado y otros",3011,0.5682,Violación,11015,0.5388,Crímenes de lesa humanidad,3012,0.5298,Agresión sexual,301,0.5224,Violencia sexual,30112,0.5174,Violación sin uso de la fuerza,11013,0.5102,Crímenes de guerra,30111,0.5029,Violación con uso de la fuerza,30119,0.4952,Otras formas de violación,8021,0.4943,Delitos de prostitución,11016,0.4896,Crimen de agresión
234,Apremios ilegítimos con cuasidelito,104,0.5173,Suicidio asistido o incitación al suicidio,11015,0.5044,Crímenes de lesa humanidad,203,0.503,Esclavitud y explotación,3011,0.501,Violación,2119,0.4855,Otras transgresiones contra las personas,11013,0.4821,Crímenes de guerra,301,0.4697,Violencia sexual,2109,0.4649,Otras formas de discriminación,11016,0.4643,Crimen de agresión,8051,0.4638,Delitos de tráfico ilícito de migrantes
235,Secuestro con homicidio,101,0.5203,Homicidio intencional,20221,0.5178,Secuestro,110131,0.5174,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,20212,0.495,Secuestro por otro familiar,2022,0.4937,Privación de libertad,11013,0.4845,Crímenes de guerra,1031,0.484,Homicidio no culposo,11015,0.4817,Crímenes de lesa humanidad,20211,0.4794,Secuestro por progenitores,103,0.4783,Homicidio no intencional
236,Secuestro con violación,20221,0.5419,Secuestro,3011,0.5306,Violación,20212,0.5221,Secuestro por otro familiar,20211,0.52,Secuestro por progenitores,301,0.5151,Violencia sexual,2022,0.5148,Privación de libertad,20219,0.4969,Otras formas de secuestro de menores,11013,0.4911,Crímenes de guerra,2021,0.4843,Secuestro de menores,30112,0.4838,Violación sin uso de la fuerza
237,Secuestro con lesiones,20221,0.5642,Secuestro,2022,0.5435,Privación de libertad,20223,0.527,Secuestro de vehículos,20212,0.5018,Secuestro por otro familiar,20211,0.5001,Secuestro por progenitores,20219,0.495,Otras formas de secuestro de menores,11013,0.4927,Crímenes de guerra,2021,0.4859,Secuestro de menores,110134,0.4813,Actos contra la libertad o la dignidad humana en relación con conflictos armados,11015,0.4649,Crímenes de lesa humanidad
248,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,20221,0.6308,Secuestro,2022,0.6015,Privación de libertad,20212,0.579,Secuestro por otro familiar,20211,0.579,Secuestro por progenitores,20223,0.5533,Secuestro de vehículos,2021,0.553,Secuestro de menores,20222,0.5399,Retención ilegal,20219,0.5359,Otras formas de secuestro de menores,20213,0.4985,Secuestro por un tutor legal,8062,0.4886,Incumplimiento de órdenes judiciales
249,Secuestro por más de 15 días o con grave daño en la persona o sus intereses,20221,0.6246,Secuestro,2022,0.6148,Privación de libertad,20211,0.5964,Secuestro por progenitores,20212,0.5903,Secuestro por otro familiar,20223,0.5705,Secuestro de vehículos,2021,0.5635,Secuestro de menores,20219,0.5547,Otras formas de secuestro de menores,20222,0.543,Retención ilegal,20213,0.5024,Secuestro por un tutor legal,2031,0.4986,Esclavitud
299,Otros delitos que afectan los derechos garantidos por la Constitución,1109,0.5889,Otros actos delictivos no clasificados en otra parte,11013,0.5334,Crímenes de guerra,11021,0.5145,Delitos en razón de la condición de menor de edad,11015,0.5057,Crímenes de lesa humanidad,1101,0.5009,Actos bajo jurisdicción universal,1102,0.5003,Actos contrarios a las leyes u otras disposiciones sobre menores,104,0.4958,Suicidio asistido o incitación al suicidio,11019,0.492,Otros actos bajo jurisdicción universal,808,0.492,Actos contrarios al derecho laboral,2029,0.4768,Otros actos contra la libertad
301,Falsificación de moneda y otros,7021,0.6907,Falsificación de medios de pago,70211,0.6762,Falsificación de medios de pago en efectivo,702,0.6356,Falsificación,70212,0.6089,Falsificación de medios de pago distintos del efectivo,7023,0.6073,Actos de falsificación de documentos,7029,0.5656,Otros actos de falsificación,7022,0.5591,Delitos relacionados con productos falsificados,7019,0.5569,Otros actos de fraude,6019,0.5565,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,601,0.5293,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
302,Falsificación o uso malicioso de documentos públicos,7023,0.6961,Actos de falsificación de documentos,702,0.5939,Falsificación,70211,0.5804,Falsificación de medios de pago en efectivo,70212,0.5676,Falsificación de medios de pago distintos del efectivo,6019,0.563,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,7021,0.5621,Falsificación de medios de pago,7019,0.5457,Otros actos de fraude,7029,0.54,Otros actos de falsificación,709,0.5155,"Otros actos que conllevan fraude, engaño o corrupción",601,0.5127,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
303,Falsificación o uso malicioso de documentos privados,7023,0.6857,Actos de falsificación de documentos,702,0.5945,Falsificación,70211,0.5764,Falsificación de medios de pago en efectivo,70212,0.5683,Falsificación de medios de pago distintos del efectivo,7021,0.5638,Falsificación de medios de pago,7019,0.5619,Otros actos de fraude,6019,0.5615,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,7029,0.5354,Otros actos de falsificación,601,0.5204,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,709,0.5197,"Otros actos que conllevan fraude, engaño o corrupción"
304,Falsificación o uso de pasaportes o permisos para porte de armas,7023,0.6428,Actos de falsificación de documentos,8059,0.5759,Otros actos ilícitos relacionados con la migración,90119,0.5546,Otros actos relacionados con posesión o uso de armas y explosivos,7022,0.5498,Delitos relacionados con productos falsificados,702,0.5462,Falsificación,70212,0.5437,Falsificación de medios de pago distintos del efectivo,70211,0.5388,Falsificación de medios de pago en efectivo,7021,0.5368,Falsificación de medios de pago,7029,0.5294,Otros actos de falsificación,901,0.5265,"Actos relacionados con armas, explosivos y otros materiales destructivos"
305,Falsificación de portes de armas,702,0.5607,Falsificación,7023,0.5502,Actos de falsificación de documentos,7022,0.5426,Delitos relacionados con productos falsificados,7029,0.5283,Otros actos de falsificación,7021,0.525,Falsificación de medios de pago,90119,0.522,Otros actos relacionados con posesión o uso de armas y explosivos,6019,0.5197,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,70212,0.5148,Falsificación de medios de pago distintos del efectivo,70211,0.5133,Falsificación de medios de pago en efectivo,601,0.5066,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
306,"Falso testimonio, perjurio o denuncia calumniosa",7019,0.5145,Otros actos de fraude,702,0.5071,Falsificación,7023,0.5061,Actos de falsificación de documentos,8061,0.5036,Obstrucción de la justicia,709,0.4787,"Otros actos que conllevan fraude, engaño o corrupción",7029,0.471,Otros actos de falsificación,806,0.4673,Actos contra el sistema de justicia,2099,0.4672,Otras formas de difamación o insulto,7022,0.4668,Delitos relacionados con productos falsificados,6019,0.4563,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
307,"Presentación de peritos, testigos o intérpretes que faltaren a la verdad o documentos falsos",7023,0.5501,Actos de falsificación de documentos,8061,0.5424,Obstrucción de la justicia,702,0.5363,Falsificación,7019,0.5177,Otros actos de fraude,7029,0.4884,Otros actos de falsificación,6019,0.4762,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,7022,0.475,Delitos relacionados con productos falsificados,806,0.4745,Actos contra el sistema de justicia,7021,0.4715,Falsificación de medios de pago,70211,0.4706,Falsificación de medios de pago en efectivo
308,Ejercicio ilegal de la profesión,7019,0.5575,Otros actos de fraude,7023,0.5379,Actos de falsificación de documentos,7033,0.5354,Abuso de funciones,6019,0.5254,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,702,0.515,Falsificación,601,0.5064,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,709,0.4971,"Otros actos que conllevan fraude, engaño o corrupción",8059,0.491,Otros actos ilícitos relacionados con la migración,701,0.488,Fraude,602,0.4872,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización"
309,Usurpación de nombre,7023,0.5529,Actos de falsificación de documentos,7019,0.5384,Otros actos de fraude,702,0.5312,Falsificación,701,0.5156,Fraude,7029,0.4946,Otros actos de falsificación,709,0.4828,"Otros actos que conllevan fraude, engaño o corrupción",8061,0.4792,Obstrucción de la justicia,7022,0.4744,Delitos relacionados con productos falsificados,7021,0.4725,Falsificación de medios de pago,6019,0.4694,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
310,Fingimiento de cargos o profesiones,7023,0.5786,Actos de falsificación de documentos,7019,0.5781,Otros actos de fraude,702,0.5673,Falsificación,7029,0.5384,Otros actos de falsificación,709,0.5263,"Otros actos que conllevan fraude, engaño o corrupción",7021,0.5128,Falsificación de medios de pago,701,0.5108,Fraude,6019,0.4984,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,7022,0.4976,Delitos relacionados con productos falsificados,70211,0.4948,Falsificación de medios de pago en efectivo
311,Falsificación de licencias médicas o pensiones,7019,0.5926,Otros actos de fraude,7023,0.5792,Actos de falsificación de documentos,6019,0.5601,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,702,0.5306,Falsificación,7021,0.5289,Falsificación de medios de pago,70212,0.5164,Falsificación de medios de pago distintos del efectivo,7022,0.5162,Delitos relacionados con productos falsificados,70211,0.5096,Falsificación de medios de pago en efectivo,701,0.4938,Fraude,601,0.4895,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización
312,"Falsificación de certificados por funcionarios públicos, privados y uso malicioso",7023,0.6524,Actos de falsificación de documentos,702,0.5781,Falsificación,7021,0.5599,Falsificación de medios de pago,7019,0.5503,Otros actos de fraude,70211,0.5493,Falsificación de medios de pago en efectivo,70212,0.54,Falsificación de medios de pago distintos del efectivo,6019,0.5192,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,7029,0.5173,Otros actos de falsificación,701,0.507,Fraude,709,0.507,"Otros actos que conllevan fraude, engaño o corrupción"
