cnp_codigo,cnp_glosa,top1_codigo,top1_score,top1_glosa,top2_codigo,top2_score,top2_glosa,top3_codigo,top3_score,top3_glosa,top4_codigo,top4_score,top4_glosa,top5_codigo,top5_score,top5_glosa,top6_codigo,top6_score,top6_glosa,top7_codigo,top7_score,top7_glosa,top8_codigo,top8_score,top8_glosa,top9_codigo,top9_score,top9_glosa,top10_codigo,top10_score,top10_glosa
210,Allanamientos irregulares,7033,0.0452,Abuso de funciones,808,0.0115,Actos contrarios al derecho laboral,8082,0.0098,Violaciones del derecho laboral individual,7032,0.0092,Malversación o peculado,703,0.0075,Corrupción,7031,0.006,Soborno,904,0.004,Actos contra la seguridad del Estado,801,0.0037,Actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,70312,0.0033,Soborno pasivo,8019,0.0033,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público
211,Delito contra libertad de opinión,80329,0.3544,Otros actos relacionados con expresiones de creencias y normas sociales controladas,8031,0.2965,Actos contra la libertad de expresión,2029,0.1409,Otros actos contra la libertad,210,0.1348,Discriminación,8039,0.1314,Otros actos relacionados con la libertad de expresión o el control de la expresión,80321,0.1236,Violaciones de las normas sobre creencias u opiniones religiosas,20299,0.1217,Otros actos contra la libertad,2092,0.1099,Difamación o insulto debido a las creencias o valores que se le imputan a la víctima,803,0.1094,Actos relacionados con la libertad de expresión o el control de la expresión,202,0.1043,Actos contra la libertad
212,Delito contra libertad de trabajo,808,0.2443,Actos contrarios al derecho laboral,8082,0.15,Violaciones del derecho laboral individual,2029,0.1006,Otros actos contra la libertad,20299,0.0847,Otros actos contra la libertad,202,0.082,Actos contra la libertad,8081,0.059,Violaciones del derecho laboral colectivo,2022,0.0541,Privación de libertad,110134,0.0441,Actos contra la libertad o la dignidad humana en relación con conflictos armados,2032,0.0379,Trabajo forzoso,2031,0.036,Esclavitud
213,Delitos contra libertad de reunión,2029,0.2051,Otros actos contra la libertad,202,0.1801,Actos contra la libertad,20299,0.1767,Otros actos contra la libertad,8031,0.1295,Actos contra la libertad de expresión,110134,0.1252,Actos contra la libertad o la dignidad humana en relación con conflictos armados,2022,0.0863,Privación de libertad,803,0.0652,Actos relacionados con la libertad de expresión o el control de la expresión,8019,0.0498,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,11021,0.0497,Delitos en razón de la condición de menor de edad,806,0.0479,Actos contra el sistema de justicia
214,Delitos contra la libertad ambulatoria y el derecho de asociación,202,0.2115,Actos contra la libertad,2029,0.102,Otros actos contra la libertad,20299,0.0846,Otros actos contra la libertad,808,0.0352,Actos contrarios al derecho laboral,8082,0.0322,Violaciones del derecho laboral individual,110134,0.0283,Actos contra la libertad o la dignidad humana en relación con conflictos armados,8081,0.0273,Violaciones del derecho laboral colectivo,2022,0.0244,Privación de libertad,20229,0.0187,Otras formas de privación de libertad,8031,0.0167,Actos contra la libertad de expresión
215,Delito contra el derecho de petición,809,0.0606,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",503,0.0359,Delitos contra la propiedad intelectual,8062,0.0189,Incumplimiento de órdenes judiciales,11021,0.0171,Delitos en razón de la condición de menor de edad,806,0.0167,Actos contra el sistema de justicia,110134,0.0148,Actos contra la libertad o la dignidad humana en relación con conflictos armados,210,0.0144,Discriminación,8069,0.013,Otros actos contra el sistema de justicia,8082,0.0125,Violaciones del derecho laboral individual,8061,0.0103,Obstrucción de la justicia
216,"Usurpación de propiedad, descubrimiento o producción",503,0.0512,Delitos contra la propiedad intelectual,509,0.0494,Otros actos contra la propiedad solamente,502,0.0263,Hurto,904,0.0193,Actos contra la seguridad del Estado,2031,0.0193,Esclavitud,401,0.0185,Robo,409,0.0166,Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas,7049,0.0135,Otros actos relacionados con el producto del delito,808,0.0131,Actos contrarios al derecho laboral,7032,0.0112,Malversación o peculado
217,Violación de secreto de invento,503,0.5114,Delitos contra la propiedad intelectual,7022,0.1918,Delitos relacionados con productos falsificados,7049,0.1443,Otros actos relacionados con el producto del delito,704,0.0474,Actos relacionados con el producto del delito,11013,0.0296,Crímenes de guerra,9032,0.0193,Injerencia ilícita en sistemas o datos informáticos,8063,0.0174,Intención delictiva,509,0.0173,Otros actos contra la propiedad solamente,1109,0.0167,Otros actos delictivos no clasificados en otra parte,504,0.0163,Daños a la propiedad
218,Empleado público que expropie bienes o perturbe posesión de otro,502,0.0909,Hurto,808,0.0643,Actos contrarios al derecho laboral,509,0.063,Otros actos contra la propiedad solamente,401,0.0613,Robo,7032,0.0583,Malversación o peculado,7049,0.0525,Otros actos relacionados con el producto del delito,704,0.0432,Actos relacionados con el producto del delito,8082,0.0412,Violaciones del derecho laboral individual,4012,0.0341,Robo de objetos de valor o bienes en tránsito,7033,0.0317,Abuso de funciones
219,Prolongación de incomunicación,8062,0.0481,Incumplimiento de órdenes judiciales,2022,0.0391,Privación de libertad,110134,0.0321,Actos contra la libertad o la dignidad humana en relación con conflictos armados,20222,0.032,Retención ilegal,806,0.023,Actos contra el sistema de justicia,90321,0.0124,Injerencia ilícita en sistemas informáticos,11013,0.012,Crímenes de guerra,202,0.0113,Actos contra la libertad,110131,0.0099,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,9032,0.0097,Injerencia ilícita en sistemas o datos informáticos
220,Tormentos a detenidos,20222,0.0591,Retención ilegal,110134,0.0456,Actos contra la libertad o la dignidad humana en relación con conflictos armados,20221,0.0439,Secuestro,8062,0.0403,Incumplimiento de órdenes judiciales,11015,0.0389,Crímenes de lesa humanidad,2022,0.0372,Privación de libertad,8011,0.032,Delitos relacionados con la alteración violenta del orden público,11011,0.0251,Tortura,806,0.0222,Actos contra el sistema de justicia,11016,0.0162,Crimen de agresión
221,Delitos contra vida y la privacidad de las conversaciones,40112,0.2833,Robo a personas en lugares privados,904,0.252,Actos contra la seguridad del Estado,903,0.2206,Actos contra sistemas informáticos,2022,0.2202,Privación de libertad,2082,0.1834,Acoso,2111,0.168,Invasión de la intimidad,20221,0.126,Secuestro,802,0.0779,Actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,2119,0.0775,Otras transgresiones contra las personas,4019,0.0603,Otros actos de robo
222,"Secuestro con homicidio, violación o lesiones",11015,0.534,Crímenes de lesa humanidad,110131,0.4631,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,20221,0.3663,Secuestro,2022,0.222,Privación de libertad,20211,0.2058,Secuestro por progenitores,20223,0.1593,Secuestro de vehículos,20212,0.1518,Secuestro por otro familiar,101,0.1429,Homicidio intencional,11013,0.1398,Crímenes de guerra,1031,0.1382,Homicidio no culposo
223,Exacciones ilegales cometidas por particulares,804,0.028,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,8041,0.0218,Actos contrarios a las disposiciones relativas a los ingresos públicos,703,0.0184,Corrupción,11021,0.0153,Delitos en razón de la condición de menor de edad,7035,0.0113,Enriquecimiento ilícito,7049,0.0101,Otros actos relacionados con el producto del delito,2051,0.0092,Extorsión o chantaje,7031,0.0063,Soborno,7032,0.0062,Malversación o peculado,704,0.0061,Actos relacionados con el producto del delito
224,Torturas por particulares agentes del Estado,11011,0.3514,Tortura,2119,0.0355,Otras transgresiones contra las personas,204,0.0315,Trata de personas,210,0.0102,Discriminación,219,0.0077,Otros actos que causan daños o que tienen la intención de causar daños a las personas,211,0.0072,Transgresiones contra las personas,30111,0.003,Violación con uso de la fuerza,301,0.003,Violencia sexual,203,0.0028,Esclavitud y explotación,8063,0.0023,Intención delictiva
225,Torturas cometidas por funcionarios públicos,11011,0.228,Tortura,2119,0.0086,Otras transgresiones contra las personas,2022,0.0065,Privación de libertad,7033,0.0057,Abuso de funciones,204,0.005,Trata de personas,8069,0.0032,Otros actos contra el sistema de justicia,8011,0.0027,Delitos relacionados con la alteración violenta del orden público,210,0.0025,Discriminación,219,0.0023,Otros actos que causan daños o que tienen la intención de causar daños a las personas,808,0.0022,Actos contrarios al derecho laboral
226,Promoción odio o violencia con grupos por motivos discriminatorios,2102,0.6275,Discriminación de grupos,80322,0.5155,Violaciones de las normas sobre intolerancia e incitación al odio,210,0.3942,Discriminación,2109,0.218,Otras formas de discriminación,2101,0.2009,Discriminación de personas,11015,0.0469,Crímenes de lesa humanidad,8011,0.0405,Delitos relacionados con la alteración violenta del orden público,110134,0.0221,Actos contra la libertad o la dignidad humana en relación con conflictos armados,11014,0.0212,Genocidio,401,0.0187,Robo
227,Tortura para anular voluntad,11011,0.2235,Tortura,2022,0.0244,Privación de libertad,210,0.0209,Discriminación,20221,0.0123,Secuestro,20229,0.0109,Otras formas de privación de libertad,2119,0.007,Otras transgresiones contra las personas,202,0.0053,Actos contra la libertad,2051,0.0035,Extorsión o chantaje,3011,0.0034,Violación,105,0.0028,Eutanasia
228,Tortura con homicidio,11011,0.2258,Tortura,107,0.1432,Homicidio ilícito relacionado con conflictos armados,110131,0.115,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,101,0.0975,Homicidio intencional,11015,0.0845,Crímenes de lesa humanidad,1031,0.0737,Homicidio no culposo,1032,0.0597,Homicidio culposo,102,0.0374,Tentativa de homicidio intencional,103,0.0335,Homicidio no intencional,11013,0.0291,Crímenes de guerra
229,"Tortura con violación, abuso sexual agravado u otros",11011,0.388,Tortura,3011,0.2867,Violación,30119,0.2791,Otras formas de violación,30111,0.1815,Violación con uso de la fuerza,3019,0.167,Otros actos de violencia sexual,301,0.1372,Violencia sexual,302,0.1351,Explotación sexual,110133,0.0965,Violencia sexual relacionada con conflictos armados,30113,0.0864,Violación por presunción legal,2119,0.07,Otras transgresiones contra las personas
230,Tortura con cuasidelito,11011,0.1016,Tortura,2119,0.0183,Otras transgresiones contra las personas,110134,0.0075,Actos contra la libertad o la dignidad humana en relación con conflictos armados,110131,0.0073,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,11015,0.0065,Crímenes de lesa humanidad,109,0.0044,Otros actos que causan la muerte o que tienen la intención de causar la muerte,102,0.004,Tentativa de homicidio intencional,1109,0.0034,Otros actos delictivos no clasificados en otra parte,110139,0.0028,Otros crímenes de guerra,203,0.0027,Esclavitud y explotación
231,Apremios ilegítimos cometidos por empleados públicos,7033,0.1578,Abuso de funciones,8082,0.1135,Violaciones del derecho laboral individual,8081,0.0802,Violaciones del derecho laboral colectivo,2032,0.0489,Trabajo forzoso,2051,0.0395,Extorsión o chantaje,808,0.0394,Actos contrarios al derecho laboral,8069,0.0144,Otros actos contra el sistema de justicia,804,0.0104,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,7031,0.0096,Soborno,703,0.0092,Corrupción
232,Apremios ilegítimos con homicidio,107,0.3434,Homicidio ilícito relacionado con conflictos armados,110131,0.2747,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,11015,0.1364,Crímenes de lesa humanidad,101,0.097,Homicidio intencional,1031,0.0725,Homicidio no culposo,1032,0.0514,Homicidio culposo,103,0.0443,Homicidio no intencional,11013,0.0334,Crímenes de guerra,102,0.0317,Tentativa de homicidio intencional,104,0.0275,Suicidio asistido o incitación al suicidio
233,"Apremios ilegítimos con violación, abuso sexual agravado y otros",3011,0.2888,Violación,30119,0.2482,Otras formas de violación,301,0.1338,Violencia sexual,302,0.1249,Explotación sexual,30111,0.1227,Violación con uso de la fuerza,3019,0.1171,Otros actos de violencia sexual,3029,0.0753,Otros actos de explotación sexual,3012,0.0749,Agresión sexual,30129,0.0665,Otros actos de agresión sexual no clasificados en otra parte,30121,0.0579,Agresión sexual física
234,Apremios ilegítimos con cuasidelito,11015,0.0194,Crímenes de lesa humanidad,2119,0.015,Otras transgresiones contra las personas,2031,0.0126,Esclavitud,101,0.0077,Homicidio intencional,219,0.0061,Otros actos que causan daños o que tienen la intención de causar daños a las personas,211,0.0058,Transgresiones contra las personas,2039,0.0052,Otros actos de esclavitud y explotación,2051,0.0048,Extorsión o chantaje,106,0.0046,Feticidio ilegal,204,0.0045,Trata de personas
235,Secuestro con homicidio,20221,0.0744,Secuestro,107,0.0397,Homicidio ilícito relacionado con conflictos armados,1032,0.0393,Homicidio culposo,2022,0.0381,Privación de libertad,110131,0.0372,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,101,0.0304,Homicidio intencional,20211,0.0261,Secuestro por progenitores,20223,0.0193,Secuestro de vehículos,1031,0.0161,Homicidio no culposo,103,0.0158,Homicidio no intencional
236,Secuestro con violación,20221,0.1945,Secuestro,3011,0.0716,Violación,20211,0.0698,Secuestro por progenitores,30119,0.0664,Otras formas de violación,2022,0.0441,Privación de libertad,20219,0.0441,Otras formas de secuestro de menores,20212,0.0424,Secuestro por otro familiar,30111,0.0409,Violación con uso de la fuerza,20213,0.0398,Secuestro por un tutor legal,2021,0.0355,Secuestro de menores
237,Secuestro con lesiones,20221,0.2859,Secuestro,20219,0.1377,Otras formas de secuestro de menores,20211,0.1299,Secuestro por progenitores,20212,0.1026,Secuestro por otro familiar,20213,0.0999,Secuestro por un tutor legal,20223,0.0925,Secuestro de vehículos,2021,0.0879,Secuestro de menores,2022,0.0839,Privación de libertad,20111,0.0656,Agresión grave,110131,0.0477,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados
248,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,20221,0.56,Secuestro,20211,0.2478,Secuestro por progenitores,20212,0.1913,Secuestro por otro familiar,20223,0.1845,Secuestro de vehículos,2022,0.1669,Privación de libertad,20213,0.1599,Secuestro por un tutor legal,20219,0.1365,Otras formas de secuestro de menores,2021,0.1183,Secuestro de menores,20222,0.0502,Retención ilegal,20229,0.0251,Otras formas de privación de libertad
249,Secuestro por más de 15 días o con grave daño en la persona o sus intereses,20221,0.7454,Secuestro,20211,0.5314,Secuestro por progenitores,20213,0.4852,Secuestro por un tutor legal,20219,0.4562,Otras formas de secuestro de menores,2021,0.4155,Secuestro de menores,20212,0.3422,Secuestro por otro familiar,20223,0.3219,Secuestro de vehículos,2022,0.256,Privación de libertad,20229,0.1952,Otras formas de privación de libertad,202,0.0653,Actos contra la libertad
299,Otros delitos que afectan los derechos garantidos por la Constitución,503,0.8152,Delitos contra la propiedad intelectual,11021,0.7315,Delitos en razón de la condición de menor de edad,110134,0.7269,Actos contra la libertad o la dignidad humana en relación con conflictos armados,2119,0.7176,Otras transgresiones contra las personas,11015,0.5426,Crímenes de lesa humanidad,211,0.5221,Transgresiones contra las personas,8082,0.376,Violaciones del derecho laboral individual,2029,0.366,Otros actos contra la libertad,210,0.2912,Discriminación,808,0.2793,Actos contrarios al derecho laboral
301,Falsificación de moneda y otros,702,0.6555,Falsificación,7021,0.6488,Falsificación de medios de pago,70211,0.648,Falsificación de medios de pago en efectivo,7029,0.6233,Otros actos de falsificación,70212,0.4805,Falsificación de medios de pago distintos del efectivo,7023,0.2368,Actos de falsificación de documentos,7049,0.2277,Otros actos relacionados con el producto del delito,7022,0.144,Delitos relacionados con productos falsificados,704,0.0852,Actos relacionados con el producto del delito,709,0.0682,"Otros actos que conllevan fraude, engaño o corrupción"
302,Falsificación o uso malicioso de documentos públicos,7023,0.8143,Actos de falsificación de documentos,702,0.5813,Falsificación,7029,0.3357,Otros actos de falsificación,7021,0.2578,Falsificación de medios de pago,70211,0.2146,Falsificación de medios de pago en efectivo,70212,0.204,Falsificación de medios de pago distintos del efectivo,7019,0.0487,Otros actos de fraude,7022,0.0472,Delitos relacionados con productos falsificados,709,0.0428,"Otros actos que conllevan fraude, engaño o corrupción",7032,0.0347,Malversación o peculado
303,Falsificación o uso malicioso de documentos privados,7023,0.7922,Actos de falsificación de documentos,702,0.5144,Falsificación,7029,0.3373,Otros actos de falsificación,7021,0.3225,Falsificación de medios de pago,70211,0.2301,Falsificación de medios de pago en efectivo,70212,0.2189,Falsificación de medios de pago distintos del efectivo,7019,0.0878,Otros actos de fraude,7032,0.0484,Malversación o peculado,709,0.0461,"Otros actos que conllevan fraude, engaño o corrupción",7049,0.0408,Otros actos relacionados con el producto del delito
304,Falsificación o uso de pasaportes o permisos para porte de armas,7029,0.5478,Otros actos de falsificación,702,0.3493,Falsificación,90119,0.3314,Otros actos relacionados con posesión o uso de armas y explosivos,7023,0.1967,Actos de falsificación de documentos,7021,0.0749,Falsificación de medios de pago,90129,0.074,Otros actos relacionados con el tráfico de armas y explosivos,90111,0.0738,Posesión o uso ilícitos de armas de fuego,70211,0.0673,Falsificación de medios de pago en efectivo,901,0.0653,"Actos relacionados con armas, explosivos y otros materiales destructivos",70212,0.0543,Falsificación de medios de pago distintos del efectivo
305,Falsificación de portes de armas,90119,0.2659,Otros actos relacionados con posesión o uso de armas y explosivos,702,0.1437,Falsificación,7023,0.1001,Actos de falsificación de documentos,7029,0.0958,Otros actos de falsificación,7021,0.0936,Falsificación de medios de pago,90111,0.0692,Posesión o uso ilícitos de armas de fuego,70212,0.0446,Falsificación de medios de pago distintos del efectivo,70211,0.0445,Falsificación de medios de pago en efectivo,7049,0.0334,Otros actos relacionados con el producto del delito,7022,0.0323,Delitos relacionados con productos falsificados
306,"Falso testimonio, perjurio o denuncia calumniosa",704,0.7495,Actos relacionados con el producto del delito,709,0.7226,"Otros actos que conllevan fraude, engaño o corrupción",7029,0.6945,Otros actos de falsificación,7039,0.6676,Otros actos de corrupción,7049,0.6499,Otros actos relacionados con el producto del delito,8061,0.534,Obstrucción de la justicia,1109,0.5308,Otros actos delictivos no clasificados en otra parte,1101,0.3996,Actos bajo jurisdicción universal,2099,0.3669,Otras formas de difamación o insulto,702,0.301,Falsificación
307,"Presentación de peritos, testigos o intérpretes que faltaren a la verdad o documentos falsos",7023,0.2112,Actos de falsificación de documentos,7029,0.0763,Otros actos de falsificación,702,0.0503,Falsificación,8061,0.0449,Obstrucción de la justicia,701,0.0291,Fraude,7019,0.0245,Otros actos de fraude,7049,0.0178,Otros actos relacionados con el producto del delito,70211,0.0165,Falsificación de medios de pago en efectivo,709,0.0156,"Otros actos que conllevan fraude, engaño o corrupción",704,0.0155,Actos relacionados con el producto del delito
308,Ejercicio ilegal de la profesión,8059,0.0244,Otros actos ilícitos relacionados con la migración,7033,0.021,Abuso de funciones,7019,0.0195,Otros actos de fraude,7035,0.0178,Enriquecimiento ilícito,7029,0.0128,Otros actos de falsificación,7049,0.0117,Otros actos relacionados con el producto del delito,703,0.0102,Corrupción,702,0.0076,Falsificación,6019,0.0073,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,704,0.0066,Actos relacionados con el producto del delito
309,Usurpación de nombre,8061,0.0314,Obstrucción de la justicia,7029,0.0243,Otros actos de falsificación,7023,0.0175,Actos de falsificación de documentos,702,0.0167,Falsificación,209,0.0144,Difamación o insulto,7019,0.0121,Otros actos de fraude,8064,0.0105,Conspiración,7049,0.009,Otros actos relacionados con el producto del delito,7021,0.0089,Falsificación de medios de pago,7033,0.0081,Abuso de funciones
310,Fingimiento de cargos o profesiones,7033,0.2778,Abuso de funciones,8064,0.2353,Conspiración,7029,0.1034,Otros actos de falsificación,7032,0.1018,Malversación o peculado,702,0.0964,Falsificación,703,0.092,Corrupción,7019,0.0803,Otros actos de fraude,7031,0.0774,Soborno,7034,0.067,Tráfico de influencias,7049,0.0485,Otros actos relacionados con el producto del delito
311,Falsificación de licencias médicas o pensiones,702,0.1666,Falsificación,7029,0.125,Otros actos de falsificación,7023,0.0963,Actos de falsificación de documentos,70211,0.0607,Falsificación de medios de pago en efectivo,70212,0.0552,Falsificación de medios de pago distintos del efectivo,7021,0.0521,Falsificación de medios de pago,7022,0.0338,Delitos relacionados con productos falsificados,7019,0.0287,Otros actos de fraude,704,0.026,Actos relacionados con el producto del delito,709,0.0235,"Otros actos que conllevan fraude, engaño o corrupción"
312,"Falsificación de certificados por funcionarios públicos, privados y uso malicioso",7029,0.8926,Otros actos de falsificación,702,0.814,Falsificación,7023,0.655,Actos de falsificación de documentos,7039,0.5561,Otros actos de corrupción,704,0.5115,Actos relacionados con el producto del delito,7049,0.4902,Otros actos relacionados con el producto del delito,7021,0.4893,Falsificación de medios de pago,709,0.4777,"Otros actos que conllevan fraude, engaño o corrupción",7032,0.3745,Malversación o peculado,7031,0.3533,Soborno
399,"Otros delitos contra la fe pública, de las falsificaciones, del falso testimonio y del perjurio",7029,0.9156,Otros actos de falsificación,7049,0.8587,Otros actos relacionados con el producto del delito,702,0.775,Falsificación,7022,0.7603,Delitos relacionados con productos falsificados,7023,0.7451,Actos de falsificación de documentos,8061,0.7226,Obstrucción de la justicia,704,0.6584,Actos relacionados con el producto del delito,703,0.6556,Corrupción,701,0.642,Fraude,7021,0.6214,Falsificación de medios de pago
401,Anticipación y prolongación indebida de funciones pública,7033,0.3624,Abuso de funciones,7032,0.2795,Malversación o peculado,7031,0.2607,Soborno,70312,0.1842,Soborno pasivo,70311,0.1468,Soborno activo,808,0.1237,Actos contrarios al derecho laboral,703,0.1143,Corrupción,804,0.0802,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,7034,0.0602,Tráfico de influencias,704,0.0529,Actos relacionados con el producto del delito
402,Nombramientos ilegales,703,0.0199,Corrupción,2032,0.0196,Trabajo forzoso,805,0.0191,Actos relacionados con la migración,7031,0.0151,Soborno,210,0.015,Discriminación,804,0.0145,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,7033,0.0144,Abuso de funciones,7032,0.0133,Malversación o peculado,808,0.0111,Actos contrarios al derecho laboral,2101,0.0108,Discriminación de personas
403,Usurpación de atribuciones de empleados públicos y judiciales,7033,0.2553,Abuso de funciones,8062,0.1177,Incumplimiento de órdenes judiciales,806,0.0894,Actos contra el sistema de justicia,7032,0.067,Malversación o peculado,703,0.0655,Corrupción,7031,0.0565,Soborno,804,0.0543,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,8069,0.0542,Otros actos contra el sistema de justicia,8082,0.0523,Violaciones del derecho laboral individual,904,0.0512,Actos contra la seguridad del Estado
404,Prevaricación judicial y administrativa,806,0.0894,Actos contra el sistema de justicia,8069,0.0664,Otros actos contra el sistema de justicia,8062,0.0462,Incumplimiento de órdenes judiciales,8061,0.034,Obstrucción de la justicia,7033,0.0188,Abuso de funciones,703,0.0111,Corrupción,7031,0.0061,Soborno,7032,0.0057,Malversación o peculado,2062,0.0047,Negligencia profesional,7039,0.0042,Otros actos de corrupción
